Patrz jak ZMASAKROWALI mojego Wiedźmina😞| Rodowód Krwi
🔗 https://www.youtube.com/watch?v=A_bkAVrvoR0
KMM (Krzysztof M. Maj)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

29:  BFP - Kochani, już jesteśmy na żywo, już jesteśmy na żywo, wydzielimy sobie za moment czat.
39:  BFP - Dzisiaj to sprawdziłem, dokładnie dwa lata i dwa dni temu
46:  BFP - Wypuściliśmy epicką dyskusję na temat drugiego sezonu Wiedźmina, która jest jednym z najchętniej oglądanych materiałów w historii tego kanału.
56:  BFP - Ma 130 albo 140 tysięcy wyświetleń.
60:  BFP - I pamiętam, że jak prowadziliśmy tę dyskusję, byłem wtedy ja, Krzysztof tutaj obecny, Artur tutaj obecny i niestety nieobecny z nami dzisiaj Grzegorz.
70:  BFP - Jak prowadziliśmy tę dyskusję, to myślałem, czy my nie przeginamy?
74:  BFP - I nie sądziłem, że spotkamy się dwa lata i dwa dni później i to, co wtedy robiliśmy, ten roast będzie absolutnie niczym w porównaniu z tym, co dzisiaj nastąpi.
84:  BFP - Takie niespodzianki dostajemy od Netflixa.
87:  BFP - I chciałem powiedzieć, Wiedźmin Rodowód Krwi nie jest dobrą produkcją.
93:  BFP - Jest złą produkcją, ale widziałem gorsze.
96:  BFP - Chcę tylko to wyrzucić z siebie na samym początku.
98:  BFP - Widziałem gorsze.
98:  BFP - Widziałem Prometeusza Ridleya Scotta.
101:  BFP - Widziałem American Pie 4.
103:  BFP - Widziałem Venoma 2.
105:  BFP - Są pewne rzeczy, które oglądam na TikToku, które sprawiają, że czasem muszę sobie polać oczy spirytusem.
110:  BFP - Ale to nie zmienia faktu, że Redowit Krwi jest naprawdę bardzo, bardzo złym serialem.
115:  BFP - Więc wszyscy z was, którzy mają nadzieję, że będziemy jakkolwiek próbowali dokonywać analizy, egzegezji tego serialu, nie liczcie na to.
123:  BFP - To jest roast.
124:  BFP - To będzie naprawdę mocny rant na coś, co powinno być szczególnie surowo oceniane.
131:  BFP - Kiedy zostaje oparte na takim uniwersum, na takiej franczyzie, która ma wielkie dziedzictwo, zdarzało mi się mówić dziedzictwo krwi zamiast rodowód krwi, ale mam nadzieję, że się nie palnę z tym zbyt wiele razy podczas naszej dyskusji.
143:  BFP - Coś, co ma takie dziedzictwo, jeżeli chodzi o książki, jeżeli chodzi o gry i nawet, nawet...
150:  BFP - serial, który jest tą główną osią Netflixową Wiedźmina, wypadający całkiem nieźle na tle tego, co dostaliśmy w formie czterech odcinków i Blood Origin Witchera.
160:  BFP - Więc będziemy batożyć i będziemy brutalni i będziemy roastować i grillować.
165:  BFP - My, czyli Artur Kurasinski, chłopie jak ja się cieszę, że wreszcie wracasz na łamy bez schematu.
171:  BFP - To był naprawdę długi urlop, ale mam nadzieję, że zostaniesz z nami na dłużej.
176:  AK - No trochę musiałem odpocząć po tym, co powiedzieliśmy wtedy.
179:  AK - Zorało moją psychę, posiwiałem jeszcze bardziej, wypadły mi włosy i stwierdziłem, że nie mogę jak ten biedny wiedźmik łykać tych różnych połszynów, tylko muszę trochę pójść w stronę światła.
192:  AK - Dziękuję wszystkim, dziękuję za zaproszenie.
195:  AK - Witam tych, z których dawno nie widziałem na kanale, tak jak tutaj też rozmówczyni i rozmówców.
202:  AK - Ja może powiem w ten sposób.
203:  BFP - Czekaj, bo jeszcze chciałem przedstawić resztę.
207:  BFP - Poza tym chciałem zaznaczyć, że nie musisz łykać połuszczynów jako Wiedźmin, co pokazał nam ten serial.
212:  BFP - To nie jest potrzebne.
213:  BFP - Wystarczy, że bardzo mocno zaciśniesz pośladki i zmienisz się w Halka.
217:  BFP - I jest z nami również Jaga Moder.
220:  BFP - specjalistka nie tylko od fantasy, profil legendystka zarówno na TikToku, jak i teraz już na YouTubie, ale wiem, że masz tutaj pewne już negatywne doświadczenia związane z YouTubem.
233:  BFP - Chcesz coś powiedzieć o tym?
234:  JM - Nie, nie, nie.
236:  BFP - I jest z nami Dominika Skoczeń, czerw fantastyczny, znakomity vlog, znakomity kanał, no i oczywiście Krzysztof M. Maj.
246:  BFP - Mam nadzieję, że zachowałaś trochę amunicji po twojej recenzji.
250:  KMM - Nie, nie, ja w recenzji nawet byłem zbyt łagodny.
253:  KMM - Teraz powiem to, co naprawdę myślę.
256:  BFP - No dobrze, to słuchajcie.
259:  BFP - Artur, bo tak się wyrywałeś.
260:  BFP - Ja chciałbym, żebyś zrobił ten swój wstęp, ale chciałem poprosić każde z nas o to, żebyście spróbowali opisać swoje emocje względem tego serialu w jednym zdaniu.
272:  BFP - Jeżeli jesteście w stanie.
273:  BFP - Arturze, jeżeli chcesz zacząć, możesz też powiedzieć to, co chciałeś powiedzieć, kiedy zaczynaliśmy.
279:  AK - Musiałem się podrapać i bynajmniej nie w głowę.
283:  AK - Moim zdaniem to, czym nas uraczyli, ja przede wszystkim naprawdę wierzyłem głęboko w to, że to, co się pisze o tym serialu, tej krótkiej serii jest nieprawdą i że to jest takie kłamstwo, taka fog of war, które jest rozsiewane po to, żeby nas przygotować jednak do czegoś lepszego.
302:  AK - Ale jeżeli jest prawdą, co się pisze o tym, że pomysł na napisanie tego czterodzienkowego miniserialu powstał dlatego, że jeden z mniej lub bardziej należących do ekipy człowieków, ludzi, mężczyzn powiedział, że jemu to tak naprawdę brakuje takiego, wiecie, no wiedzę o tym, co tam się wydarzyło te 1200 lat i on sobie machnie na kolanie to i ta biedna showrunnerka powiedziała, a weź sobie chłopie machnij, zrób to i on to machnął i Netflix powiedział, sypnę kasą, zróbcie z tego filmy.
331:  AK - Nie wierzyłem w to.
332:  AK - Ja myślałem, że to jest bzdura, że tego się nie robi obecnie, że to jest po prostu jakaś taka, wiecie, licencja poetyka, ale to się po prostu nie ma prawa wydarzyć.
338:  AK - Ale oni to naprawdę zrobili i tak to wygląda i tak to widać, tak to jest czuć.
342:  AK - Ten serial po prostu jest zrobiony kompletnie nie wiadomo po co, na kolanie i on nie zawiera nic, czym byliśmy do tej pory, czym się utożsamialiśmy.
353:  AK - Ja mam wrażenie, że nie dość, że jest to zapchaj dziura,
357:  AK - to z mojej perspektywy jest to świetna amunicja dla tych, którzy chcą rozwalić, zniszczyć, wywalić z siodła showrunnerkę.
365:  AK - Dlatego, że tak jak ja pisałem w swojej recenzji, dla mnie ona jest obecnie Czesławem Michniewiczem Netflixa i tej serii.
373:  AK - Ona po prostu za chwilę zniknie, dlatego, że do tej pory...
377:  AK - Tak, ale broniła się wynikami.
379:  AK - Można powiedzieć, no wiecie, ale Henryk Kawik przyciągnął ileś tam milionów osób i wszyscy o tym serialu mówili głośno.
384:  AK - Mówię oczywiście o serialu The Witcher, nie Radowid Krwi, tylko wydaje mi się, że po tym, co zobaczyliśmy w ciągu ostatnich dni, szczególnie jeżeli chodzi o ceny, one są miażdżące i mam nadzieję, że to będzie taki pierwszy policzek, taki pierwszy slap, który wyląduje na głowie pani Lauren, no bo tego po prostu się nie da bronić.
405:  AK - Na razie to tyle.
406:  BFP - Smokeł Stachy napisał na czatach, to nie jest kryzys, to jest rezultat.
410:  BFP - Bardzo mi się podoba ten komentarz.
411:  BFP - Gonzor24 skończył, porównywać świetnego Prometeusza do tej abominacji, no bez jaj.
415:  BFP - Ja mam Prometeusza bardzo żywego w swojej pamięci i to nie był dobry film.
420:  BFP - Jaga, twój wstęp, zdanie, może więcej, jeżeli chodzi o Rodowód Krwi.
426:  JM - Ja oglądając ten serial, miniserial, miałam taką myśl, że to jest absolutne niszczenie IP, że po tym Wiedźmin się bardzo długo nie podniesie, bardzo długo nikt nie będzie chciał się tknąć tego tytułu, bo będzie po prostu rozjechany na kawałki.
442:  JM - A to czułam jeszcze przy okazji wtedy, no to trochę tak rozmawialiśmy z Filipem, gdzieś tam dwa zdania wymieniliśmy,
450:  JM - za kulisami gdzieś tam na Instagramie, to ja się czułam tak, jakbym była na sesji RPG, którą prowadzi mój znajomy, nieprzygotowany, przy dużej ilości alkoholu, nie przeczytawszy żadnej strony z podręcznika z kampanią, z jakiegoś tam generycznego podręcznika do gry, do sesji RPG.
471:  JM - Więc mniej więcej takie miałam odczucia.
473:  JM - No i oprócz tego, że byłam po prostu zła właśnie to, co na samym początku powiedziałam, że niszczą, poniewierają to IP już naprawdę do granic możliwości.
481:  BFP - Dominiko?
484:  DS - Ja zanim zaczęłam oglądać, to nastawiłam się tak, że ja nie mam już żadnych oczekiwań, że to na pewno będzie słabe.
493:  BFP - Tak jak ja z polską reprezentacją.
495:  DS - Tak, że to na pewno będzie słabe, że
499:  DS - no po prostu co się będzie działo, to się będzie działo, jakoś to sobie obejrzę i może jak nie będę miała tych żadnych oczekiwań, to to będzie to jakoś takie neutralne, takie, że sobie oglądnę i tyle.
510:  DS - I jestem w szoku, że się myliłam.
513:  DS - Znaczy tego się po prostu nie da oglądać i
520:  DS - ale ma jedną bardzo dobrą cechę, czyli to, że ma tylko cztery odcinki.
526:  BFP - Myślałem, że się kończy.
528:  DS - Tak, kończy się szybko.
531:  DS - I to jest jedyna dobra rzecz, która tam jest.
534:  DS - I co prawda niektórzy mówią, że jeśli człowiek nie patrzy na to, jako na serial związany z Wiedźminem, tylko po prostu ogląda go sobie tak niezbyt uważnie i dla przyjemności, to, że
550:  DS - Jest on okej.
552:  DS - Jeśli ktoś jest w stanie tak to oglądać, to dobrze dla niego, ja mu bardzo zazdroszczę, ale dla mnie ilość błędów, ilość głupot, to jak to było skonstruowane sprawiło, że ja odczuwałam aktywną nieprzyjemność poznając te produkcje.
572:  DS - Co więcej,
574:  DS - Dla mnie, jak to oglądam, to mam wrażenie, jakbym oglądała tanie science fiction, wiecie, przepraszam, science fiction, tanie fantasy, które może się pojawić na kanale science fiction o drugiej w nocy.
589:  DS - Czy może nawet wcześniej.
590:  DS - Takie rzeczy, które się oglądało.
592:  DS - Nie wiem, ksena wojownicza księżniczka.
594:  DS - To jest vibe, który ja mam oglądając Wiedźmina Rodowód Krwi.
598:  DS - I wszystko byłoby dobrze, gdyby nie to, że jeden odcinek Rodowodu Krwi kosztował od 7 do 10 milionów dolarów.
608:  DS - I za te pieniądze, jako widzowie, naprawdę powinniśmy dostać coś lepszego niż słaby scenariusz, słabych bohaterów, potwornie słabe CGI, które jest w tym serialu i mnóstwo innych rzeczy, o których na pewno będziemy sobie dzisiaj mówić.
627:  DS - Także naprawdę jestem zafascynowana, bo ja myślałam, że po Pierścieniach Władzy
632:  DS - naprawdę cokolwiek nie pokażą w tym Wiedźminie będzie trochę lepsze.
637:  BFP - A tak nie jest.
638:  BFP - To powiedziałeś, że per odcinek, ile to było?
641:  BFP - Trzech do sześć milionów?
642:  BFP - Siedem do dziesięciu.
643:  BFP - Siedem do dziesięciu?
644:  S05 - Siedem do dziesięciu.
644:  BFP - No to jakieś czternaście, dwadzieścia poszło z dymem, bo dwa odcinki wyrzucono, przecież miało być sześć odcinków.
650:  BFP - Krzysztofie, jakby chodź ze mną na gołe klaty i zdejmuj koszulę, bo widzę, że wszedłeś na czat i napisałeś, że będziesz bronił Prometeusza, że to jest ercydzieło w zestawieniu z tym głównym.
658:  BFP - No to pokaż, na co cię stać.
660:  KMM - Absolutnie tak, przynajmniej tam został wykreowany jakiś względnie interesujący świat, a bohaterowie, jeżeli są już głupi, to można się z nich pośmiać, a tutaj nawet pośmiać się nie można.
669:  KMM - Powiem w ten sposób, wieść gminna niesie, że serial ten powstał, jak Loren Fistech, przepraszam, Hissrich,
676:  KMM - Zapisała na serwetce pomysł razem z jakimś genialnym scenarzystą.
681:  KMM - Ja myślę, że jest w tym tyle samo prawdy, ile w tym, co Loren Fistech mówi o wszystkich innych okolicznościach.
687:  KMM - O tym, jak obsmarowuje Henry'ego Cavilla, że jest gejmerem uzależnionym, mieli z nim problemy i inne tego typu rzeczy.
694:  KMM - Myślę, że wszędzie jest pół prawdy, także i w tym kwestii.
697:  KMM - Znaczy myślę, że objętość się zgadza, bo autentycznie na takim skraweczku by się to zmieściło.
701:  KMM - ale źródło papieru obstawiam gdzie indziej.
704:  KMM - Myślę, że to był papier toaletowy, a nie serwetka.
707:  KMM - Co też zgadza się z tym, co mamy w tym momencie w serialu.
710:  KMM - To znaczy, to nie jest już, nie wiem, kupośniaczek, gówno, burza, kałużka, tylko to jest excrement tornado, to, co się na nas wylało.
716:  KMM - Ja nie widziałem gorszego... Ja chodziłem cały czas kapoku.
719:  KMM - ...gówna w swoim życiu autentycznie.
723:  KMM - Wiem, że to są mocne słowa, ale naprawdę...
726:  KMM - wynudzony przepotwornie, wykończony i zmęczony, brnąłem przez to mozolnie, starając się w ogóle zrozumieć, co się dzieje.
734:  KMM - I tutaj chciałem trochę podbić to, co Dominika powiedziała.
737:  KMM - Ja potem coś jeszcze powiem do tej serwetki.
739:  KMM - Dobra.
740:  KMM - Tak, myślę faktycznie, że ktoś, kto był totalnie bez oczekiwań, nienastawiony, nie był w uniwersum Wiedźmina,
748:  KMM - Ja myślę jednak, że mógłby się nie połapać, co tam się działo, ponieważ wątki były tak ucinane szybko, bohaterowie prezentowali się nam, a potem autentycznie wbijał narrator i narrator mówił tak, jak w kiepskiej piosence Country.
761:  KMM - Było ich dwóch.
762:  KMM - Dołączył też mag.
765:  KMM - I później jest cięcie.
766:  KMM - A teraz do nich dołączyła łuczniczka.
770:  KMM - I przepraszam, no nie montuje się w ten sposób filmów.
772:  KMM - To jest jakiś koszmar absolutny.
775:  KMM - Więc ja nie wiedziałem autentycznie o co chodzi do momentu, w którym wprowadzili Menhiry.
781:  KMM - Jedna rzecz, na której się wszyscy, wszyscy wyłożyliśmy przy ostatnim sezonie, wyśmiewaliśmy to, boże, skąd te menhiry i teraz robią wokół tego cały serial.
790:  KMM - Więc jeżeli to jest jakieś spoiwo fabularne, to może, ale myślę, że dla ludzi, którzy nie są w uniwersum Wiedźmina, to mogło też być niezrozumiałe, bo ten serial nie tłumaczy, czym jest Koniunkcja Sfer do końca.
802:  KMM - Nie mówi, jak się pojawiły potwory, wprowadza jedynie ludzi.
