Pojedynek wielu światów, czyli co wyszło i nie wyszło w nowym "Doctor Strange"?
🔗 https://www.youtube.com/watch?v=hB7-BTWbsg0
GW (Grzegorz Wątroba, Okiem Deva)
MK (Marcin Kończewski, Koń Movie)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Witamy w wojnie wielu światów.
3:  BFP - Panowie, od razu oddaję wam piłeczkę.
5:  BFP - Czy jest wśród was ktoś, kto jest w stanie wytłumaczyć mi kosmologię Marvela kinowego?
10:  BFP - W sensie, jak tam właściwie działa ten wieloświat?
14:  BFP - O co chodzi?
14:  BFP - Jak to się stało, że tego wcześniej nie było i teraz to jest?
18:  MK - Dlaczego od razu od podważania tego wychodzimy, bo to jest teoria od razu jakaś taka niezbyt korzystna dla tego marmela.
27:  GW - Dla mnie akurat jest dość dobrze uregulowana, przynajmniej w komiksach i powoli się to tak klaruje w filmie.
35:  MK - Ale w filmach, czy to tak jest do końca Grzesiu?
38:  GW - Póki co to widzę, że tak próbują upraszczać to, co było dość mocno rozbudowane w komiksach i zcieśniają chociażby to, co będzie nas czekało w Quantum Money w Ant-Manie, gdzie już to było widać w Ant-Man and Wasp, gdzie połączyli tak naprawdę Quantumverse i Microverse w jedno.
63:  GW - Bo o ile dobrze pamiętam, jeżeli chodzi o tę teorię, no to Quantumverse to jest świat, który jest pomiędzy innymi światami, to jest, przepraszam, wymiar w ramach jednego multiwersum, który jest takim pomocnym pomiędzy innymi.
79:  GW - A Microverse to jest ten, który non-stop się ścieśnia, żeby to było w kontrze do naszego standardowego pojmowania wszechświata, który non-stop się rozszerza.
93:  GW - Połączyli to w jedno w filmie i przez to Scott Lang tłumaczył, że można zrobić sobie ten skok w czasie właśnie ze względu na tą całą mechanikę tego wszechświata i tak właśnie połączyli Quantum Version i Microverse w jedno i podejrzewam, że będą to bardziej jeszcze eksplorowali właśnie w kolejnej części Ant-Mana.
114:  BFP - Zadałem to pytanie, bo chcę oddać głos Krzysztofowi, który z naszej czwórki najbardziej krytycznie podchodzi do doktora Strange'a, a jednocześnie z Krzysztofem też w zasadzie recenzowałem wszystkie poprzednie produkcje Marvela, które już wtedy budowały podwaliny do wprowadzania multiwersum.
133:  BFP - I teraz oczywiście wszyscy, którzy nas słuchają, wiedzcie, że będziemy rozmawiali ze spoilerami.
138:  BFP - Będą wyskakiwały jak Filip z Konopi.
146:  BFP - W przypadku Into the Spider-Verse to było proste.
150:  BFP - Jak się pojawił multiwersum, czy otworzyły się wrota do innych światów, to było proste.
154:  BFP - Kingpin miał pod ziemią wielki zderzacz hadronów i coś poszło nie tak.
158:  BFP - Flash, który się zbliża wielkimi krokami, no może nie tak wielkimi krokami, bo biorąc pod uwagę kłopoty z Ezrą Millerem, który atakuje ludzi w Hawajach częściej niż rekiny, to może być tak, że jeszcze go recastują, wrzucą do kogoś innego, trzeba będzie jeszcze chwilę poczekać.
172:  BFP - No ale jak to będzie, że otworzą się drogi do multiwersum?
176:  BFP - No wiadomo, Flash bardzo szybko biega i tak szybko biega, żeby połączył światy ze sobą.
180:  BFP - I w przypadku Marvela, to przecież ja pamiętam jak ja recenzowałem Lockiego, jak ja recenzowałem Spidermana,
188:  BFP - I z Krzysztofem właśnie rozkminialiśmy temat multiwersum i tam było tak, że Loki razem ze swoim Alter Ego coś tam narobił na krańcu wszechświata.
196:  BFP - Było tak, że Doctor Strange, spell mu nie wyszedł, bo mu Peter Parker przeszkadzał.
200:  BFP - Było tak, że tam Wanda latała i zaczęła używać tego swojego Darkholda i zaczęła się łączyć z innymi wersjami siebie.
207:  BFP - to kto w końcu narobił to multiwersum?
209:  BFP - Bo jeszcze się pojawia teraz jakaś America Chavez, która skacze między światami i wcale nie potrzebowała do tego ani Lockiego, ani Wandy, ani Strange'a.
216:  BFP - Ja zaczynam się gubić tym wszystkim.
219:  KMM - Krzysztof.
219:  KMM - America Chavez to jest chodzący McGuffin, który służy do tego, żeby fabuła szła dalej.
