Recenzja DUNE. Czy to ekranizacja, na którą czekaliśmy?
🔗 https://www.youtube.com/watch?v=xcFjoPEcfE4
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Duna, chciałbyś coś dodać do tego?
5:  KMM - Bardzo ciężko, bo jak wyszedłem z kina za pierwszym razem, to stwierdziłem, że muszę przejść z kina dwie godziny do domu, słuchając cały czas muzyki Hansa Zimmera i układając sobie myśli, bo nie wiedziałem, co powiedzieć.
18:  KMM - Dalej mam problem z tym, w jaki sposób zebrać słowa, a byłem już dwa razy.
25:  BFP - Ja na wstępie mogę powiedzieć,
29:  BFP - że jest to dla mnie największe widowisko i największy spektakl, który przypomina mi o tym, czym jest zaklęcie, jakie może na ciebie rzucić kino od czasu 1917 Sama Mendeza.
46:  BFP - Czyli filmu, który ukazał się na samym początku 2020 roku i który bardzo zachwalałem.
52:  BFP - Myślałem, że może będzie moim ulubionym filmem roku.
54:  BFP - Był trzecim moim ulubionym filmem roku.
57:  BFP - I chociaż nie był złożony, nie miał głębokiego przesłania, to był niezwykle immersyjnym obrazem.
64:  BFP - I nie czułem tego może przez pandemię, bo byłem w kinie jakieś trzy razy od tamtej pory, ale ten powrót teraz do kin postpandemiczny zaczyna się z wysokiego C, jeżeli chodzi o takie widowiska i spektakle.
79:  BFP - I Dune'a jest dokładnie tym.
80:  BFP - To znaczy spektakl to jest słowo, którego chciałbym użyć.
85:  BFP - I immersja i imersyjność to jest kolejne słowo, którego chciałbym użyć.
88:  BFP - I na tą imersyjność dla mnie składają się cztery rzeczy, jeżeli chodzi o Dunę.
93:  BFP - W sensie, ten obraz można krytykować, nawet należy krytykować w pewnych aspektach, nawet odsłania pewne części ciała Duna do ataku.
105:  BFP - ale co do tych czterech naprawdę ciężko się przyczepić.
108:  BFP - Te, które składają się na imersyjność.
110:  BFP - I mam na myśli coś, co ładnie się nazywa production designem, scenografia, kostiumy, zabawa przestrzenią w kadrze, po drugie właśnie zdjęcia i ujęcia, po trzecie CGI, czyli efekty generowane komputerowo i po czwarte udźwiękowienie.
129:  BFP - I te cztery elementy sprawiają, że naprawdę w tym filmie czuje się między zębami każde ziarenko piasku i każde ziarenko przyprawy, że możesz pomacać każdą gąsienicę harwestera, który zbiera przyprawę.
144:  BFP - że widzisz każdy element ekwipunku w kostiumie, który noszą bohaterowie, czy ich uniformach, a jednocześnie, że jest niezwykle unikalny dźwięk ornitoptera, że jest niezwykle charakterystyczne dudnienie, gdy nadciąga czerw, że masz to charakterystyczne brzęczenie, kiedy włącza bohater tarczę swoją.
165:  BFP - I te elementy dźwiękowe i te elementy wizualne i production design, już nie mówiąc o kadrach, bo do tego też zaraz przejdziemy,
173:  BFP - sprawiają, że to jest naprawdę zabranie Cię do innego świata.
178:  BFP - Nie możemy uniknąć rozmowy o świecie przedstawionym i światotwórstwie, bo uwielbiamy o tym rozmawiać, ale ten film jest jak na nieinteraktywny medium wspaniale immersyjny i sprawia, że zabrano Cię do innego świata.
198:  KMM - To ja podchwycę od razu ten wątek światotwórczy po tobie, bo mam wrażenie, że część recenzentów, o ile nie większość, kompletnie tego nie zrozumiała.
208:  KMM - Proza Franka Herberta, proza fantastyczna i Diuna Villneva mają to ze sobą wspólnego, że fabuła zawsze będzie tam schodziła trochę na dalszy plan.
220:  KMM - I diuna przy swojej skali, ci z was, którzy nie czytali, a nas słuchają, bohaterowie tam potrafią przeminąć na kartach 50 stron bodajże, znaczy na 50 stronach, a nareszcie kart powieści mijają w tym czasie milenia.
236:  KMM - To jest skala diuny.
238:  KMM - Skala, która ma być przytłaczająca, która ma pokazywać, że indywidualne ambicje jednostek
245:  KMM - absolutnie się nie liczą w szerokim planie, nie liczą się dlatego, że jest bractwo Bene Gesserit, czy Bene Gesserit, które nie tylko manipulują genetycznie, ale również roztaczają plany o skali cywilizacyjnej.
261:  KMM - Jest imperator, który nie zarządza planetami, tylko on zarządza zespłami planet i skłóca ze sobą rody, po to lansraadu, czyli reprezentacji wszystkich rodów w tym uniwersum.
274:  KMM - I robi to znowu na skalę galaktyczną.
277:  KMM - Jest wreszcie przyprawa wspomniana przez ciebie, dzięki której funkcjonuje cała ekonomia tego świata i która wyznacza bieg geopolityczny przez kilka imperiów, które są opisane przez Franka Herberta.
288:  KMM - Bo tak, bo Frank Herbert nie opisuje jednego imperium Padryszacha, tylko opisuje ich trzy czy cztery.
294:  KMM - A jeszcze nie wspominałem o prequelach.
296:  KMM - Więc to jest film, który potrzebuje skali.
299:  KMM - I moje skojarzenia po seansie pomknęły od razu w jedną stronę.
303:  KMM - Ja poczułem to samo, co po wyjściu z Władcy Pierścieni, konkretnie z Dróżnym Pierścieniem.
309:  KMM - Ja wtedy poczułem, że zobaczyłem coś wyjątkowego, coś, co zostało nakręcone kompletnie wbrew wszystkim wytycznym Hollywoodu, z pominięciem paru.
319:  KMM - ale coś, co pokazywało skalę świata.
322:  KMM - I dla mnie i Tolkien, i Herbert pod tym względem są bardzo podobni, zresztą też w podobnym czasie tworzyli, mianowicie chcieli wykreować taką rzeczywistość, która będzie większa niż powieść, która będzie większa niż saga powieściowa.
335:  KMM - I tutaj te skale udało się pokazać, to mi się chyba najbardziej spodobało.
339:  KMM - Każdy krytyk czy recenzent, który mówił, tu są zbyt długie ujęcia,
343:  KMM - bo zbyt długie ujęcia na statki, na gałęzi Marcin Łukański tak krytykował, zbyt długie ujęcia.
351:  KMM - Te ujęcia były potrzebne, bo ja chciałem paść oczy tym wielkim, brylastym statkiem atrydów, który wznosił się z oceanu i z wód Kaladanu w przestworza.
364:  KMM - Ja chciałem to zobaczyć.
365:  BFP - Moja ulubiona scena.
367:  KMM - Prawda?
367:  KMM - I mówiłem sobie, Boże, ja chcę jeszcze.
370:  KMM - Dlaczego jest cięcie w tym momencie kamery?
372:  KMM - bo ta skala i ten majestat, który był przepięknie podkreślany przez to, co już wydobyłeś, czyli warstwę dźwiękową i muzykę, jest potrzebne.
380:  KMM - W tym filmie się oddycha skalą świata, gigantycznymi statkami, które wypełniają cały plan i one mają go wypełniać, mają tkwić na tym planie, ponieważ żeby poruszyć taką bryłę, trzeba gigantycznych nakładów energii.
395:  KMM - Nieprawdopodobnie mi się to podobało i muszę powiedzieć szczerze, jakkolwiek mi się nie podobała muzyka z Dunkierki, należę do mniejszości, wiem, tak, muszę powiedzieć, że jeżeli chodzi o to, co zrobił Zimmer dla Dune'y, to jest to bezpośredni powód, dla którego przesłuchałem całej płyty po wyjściu z kina.
410:  KMM - Ja nigdy nie słyszałem wykorzystania sonoryzmu na taką skalę,
414:  KMM - i połączenia tego z brzmieniami elektronicznymi, ambientowymi i jeszcze folkowymi, tak, żeby oddać, użyję tego słowa, allotopijność, inność tego świata.
424:  KMM - To jest kompletnie inna rzeczywistość i to czuć od samego początku do absolutnie samego końca.
430:  KMM - I dlatego jest tutaj ta imersja, a nie analiza, nie interpretacja.
434:  KMM - To robimy teraz, ale na początku filmu już
438:  KMM - W momencie, w którym widzimy ten przepiękny kadr żywcem wyjęty z płucy Beksińskiego, statku Harkonnenów, który stróżuje nad zbierającym przeprawę Harvesterem i wojsk Harkonnenów, które podróżują przez pustyną Dune, w tle narrator z offu pozakadrowy informuje nas, co się dzieje i sprzedaje nam skondensowaną w pigułce informację na temat tego świata.
462:  KMM - Już wtedy wiedziałem, że ja mam do czynienia ze skałą władcy pierścieni.
465:  KMM - Też nawiązując, mówiąc, władca się zaczyna od narracji pozakadrowej.
468:  KMM - Przepięknie absolutnie zostało to zrobione.
471:  BFP - Tak i podzielam w dużej mierze to, co mówisz i też pamiętam, że wprowadzenie do śródziemia filmowe w Drużynie Pierścienia było od wielkiej skali
