Recenzja "What if...?" od Marvela. Garść przemyśleń i pomysłów na upgrade serii
🔗 https://www.youtube.com/watch?v=1-4mEIXVteY
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

5:  KMM - Co by było, gdyby powinno być najlepsze?
7:  KMM - Tak mi się wydaje.
9:  KMM - Ja zawsze mam takie powiedzenie, że w momencie, w którym w uniwersum komiksowym wprowadzimy już takiego rekina, którego nie da się przeskoczyć zgodnie z idiomem Jumping the Shark,
20:  KMM - to wtedy trzeba wprowadzić albo jeszcze większego złoczyńcę, i to jest to, co Marvel robi, albo zrobić multiwersum, o którym sobie rozmawialiśmy już troszeczkę przy Loki.
29:  KMM - Dokładnie.
30:  KMM - I zastanawiać się na temat różnych scenariuszy, jak to się fachowo mówi, kontrfaktycznych, co by było właśnie, gdyby... I tutaj zaczynamy sobie parować na przykład bohaterów, którzy by się nigdy nie spotkali, albo uniwersa.
44:  BFP - I to jest ciekawe, bo wiesz, jak zapowiedziano tą animowaną antologię w formie serialu, która ma dziewięć odcinków, oryginalnie miała mieć dziesięć, to nikt jeszcze wtedy nie wiedział do końca, że to będzie tak naprawdę oparte na kanonie Marvel Cinematic Universe związanym z multiwersum, że to multiwersum otworzy te drzwi do tak wielu różnych alternatywnych rzeczywistości.
70:  BFP - Ludzie myśleli, to będą po prostu sobie takie różne historyjki, może jakieś odrzuty scenarzystów, które gdzieś tam powstały po drodze.
77:  BFP - Natomiast rzeczywiście wszystko to jest spajane przez ideę multiwersum i postać Watchera, tego obserwatora, którego gra Geoffrey Wright, który będzie dość ważny z perspektywy fabuły i tak naprawdę łączy wszystkie odcinki, a w szczególności pod koniec ósmego i dziewiątego odcinka, gdzie rzeczywiście te bariery zostają zburzone.
99:  BFP - No, mówimy ze spoilerami, bo to będzie nasza recenzja wszystkich dziewięciu odcinków i generalnie całego tego sezonu.
106:  BFP - Natomiast to, co pomyślałem, że mogłoby ciekawie urozmaicić nasz odcinek, to jest to, żebyśmy do każdego z nich, jeżeli będziemy mieli wenę, dorzucić swój wariant czy swoją wersję tego, jak mógł wyglądać ten odcinek.
120:  BFP - Bo ja nie będę ukrywał, no to jest jeden z moich zarzutów co do tej serii, to że ona jest tak naprawdę remiksem Marvela.
127:  BFP - To jest remiks.
128:  BFP - Patrząc na potencjał, jaki drzemie w multiwersum i w takim formacie, który jest antologią, to można pozwolić sobie na tyle, na ile pozwalają sobie twórcy Love, Death & Robots.
138:  BFP - Robić formaty
140:  BFP - gatunki w cały świat, korzystać z całej puli bohaterów, którzy nawet nie są dostępni w filmach Marvela.
