Ród Smoka odc. 1 | Mamy nową Grę o Tron? | Recenzja i analiza
🔗 https://www.youtube.com/watch?v=JY1Umq4D26w
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

1:  BFP - To nie zmienia faktu, że możemy rozmawiać.
6:  GW - Teraz się boję odezwać, także nie kuś.
9:  KMM - Spokojnie, nie zaczniemy gorzej niż ostatnio.
14:  BFP - Nie wmówisz mi, że to jest safe space, także... Ale na szczęście tamten początek wytnę z wersji podcastowej, więc będzie dobrze.
23:  BFP - Kochani, witajcie.
24:  BFP - Witajcie na zwołanej na prędce, ale w jakże doborowym gronie, recenzji ze spoilerami, więc będącej także omówieniem i analizą
34:  BFP - Słyszę, że... O nie, nie, przepraszam, tylko Adam napisał, że Filip nie słychać, bo społeczność już ma taką tradycję, że lubi mnie trollować na początek, żebym się spodził jak mała świnka.
45:  BFP - Witajcie, witajcie drodzy, będziemy rozmawiali o pierwszym odcinku House of the Dragon, czyli Rodzie Smoka i ze mną jest Krzysztofem Maj.
53:  BFP - To ja.
54:  BFP - Myślałem, że użyjesz jakiegoś tego swojego sampla, żeby coś tam zrobić, ale...
60:  BFP - Nie, nie użyjesz, to dobrze, to dobrze.
62:  BFP - Grzegorz Wądroba z Okiem Deva, kojarzycie?
66:  BFP - Ale również bez schematu, więc... Trzech muszkieterów bez schematu zebrały się, żeby porozmawiać razem z wami o tym, jakie są nasze wrażenia po pierwszym odcinku House of the Dragon.
76:  BFP - I zaczynając powiem, tak, jest tutaj wszystko to, co lubiłem najbardziej w Game of Thrones, ale jest tu też wszystko to, co lubię najbardziej w sukcesji.
88:  BFP - Mam wrażenie, że udało się zrobić sukcesję, a przynajmniej po pierwszym odcinku odnoszę takie wrażenie, bardziej kameralnego serialu, który nie rozrzedza swojej uwagi na tak wiele postaci, tak wiele rodów, tylko koncentruje się na jednym i rzeczywiście na tytułowej sukcesji.
108:  BFP - Wasze wrażenia po pierwszym odcinku, tak na szybko?
112:  KMM - Na szybko to mogę powiedzieć, że wracamy do pierwszego sezonu Gry o Tron i pod względem technologicznym, produkcyjnym, ale niestety nie pod względem aktorskim.
122:  KMM - Już ubolewałem trochę na Twitterze, że przez to, że nie mamy aktorów, którzy są bardzo znani, Charles Dance, Lena Headey, Sean Bean, to już nie wspomnę, to może się tak okazać niestety, że House of the Dragon będzie właśnie
137:  KMM - bardzo przypominało Sukcesję i pod tym kątem, to znaczy Sukcesja jest świetnym serialem, ale nie jest oglądana przez tak masowo publikę jak Game of Thrones, więc mam wrażenie, że HBO może traktować to przez to jako no właśnie taki drobny poboczny projekt, w który nie będzie pompować tak dużo pieniędzy jak powinno, a te pieniądze widać.
156:  KMM - I jak porównamy sobie
158:  KMM - Fotosy nawet z planu House of the Dragon i takie same fotosy, jakie dostajemy z planu Rings of Power, to absolutnie wiadomo było od samego początku, że w House of the Dragon będzie świetna jakość produkcyjna, tak jak wiadomo, że w Rings of Power będzie beznadziejna.
175:  KMM - Mimo, że Rings of Power podobno jest serialem, który ma większy budżet.
178:  BFP - Znaczy, przepraszam, bo tu muszę się wciąć.
181:  BFP - Jakość produkcyjna może być wyższa, ale teatralność działa na korzyść tej historii i pokazuje, że możesz opowiedzieć historię nawet w mniejszej skali, przeznaczając ten budżet na efekty specjalne, na przykład smoków, a nie wielkich bitew, chociaż być może czekają nas tu jakieś sceny batalistyczne.
196:  BFP - I to, że możesz zamknąć... Ja tak przewidywałem, że to będzie pałacowa intryga i pałacowa rodowa historia.
202:  BFP - Tak jest do tej pory, bardzo mi się to podoba.
204:  BFP - Krzegorz?
205:  BFP - Przepraszam, chcesz jeszcze ad vocem?
208:  KMM - Krótka rzecz tylko, to znaczy, żeby uporządkować, to jest, pamiętajmy, adaptacja też nie w książki sfabularyzowanej w pełni, tylko kroniki historycznej, więc wszystkie dialogi są pisane przez scenarzystów oryginalnie i pierwszy sezon będzie obejmował maksimum 4-5 rozdziałów House of the Dragon pierwszego tomu z 15, co też pokazuje, że mamy do czynienia zupełnie też z innym serialem niż Game of Thrones i sukcesja.
232:  KMM - To też chciałem to tylko dopowiedzieć.
234:  BFP - Od razu znaczy, tak jak jeszcze parę osób się teraz pojawia, tak Mateuszu, to będzie omówienie spoilerowe.
