Shōgun | Omówienie odc. 1-3
🔗 https://www.youtube.com/watch?v=4St49k3ZVBE
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
ML (Michał Lipiński, Ponarzekajmy o Filmach)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

41:  BFP - Dobry wieczór.
42:  BFP - Dokładnie, no może nie dokładnie tydzień temu, ale 6 dni temu, kiedy na kanale Bez Schematu był live dyskusja z Krzysztofem i z Marcinem Giełzakiem, to kiedy tylko zakończyliśmy, Krzysztof powiedział...
57:  BFP - Nie wyobrażam sobie, żebyś dzisiaj nie zaczął oglądać Szoguna.
60:  BFP - Nie będziesz moim przyjacielem, jeżeli nie obejrzysz tego serialu za moment.
64:  BFP - Jeżeli nie założysz live'a, na który następnie mnie zaprosisz, żebyśmy podyskutowali o tym serialu.
71:  BFP - I tak rzeczywiście następnie się stało.
74:  BFP - Zacząłem oglądać serial, który mam wrażenie...
77:  BFP - Prawie odjechał beze mnie, bo wskoczyłem na wagonik dość późno.
83:  BFP - Myślałem, o poczekaj, masz zbierzeć 10 odcinków, ale biorąc pod uwagę, ile znakomitych... Ale będzie tylko 8.
91:  BFP - Nie, będzie 10.
95:  BFP - Mam 10.
97:  BFP - I z każdej strony słyszałem, to jest kandydat na serial roku.
100:  BFP - To jest inteligentny, brutalny, bezkompromisowy, znakomicie zagrany, znakomicie zrealizowany i idealnie stylowy serial, który po prostu trzeba zobaczyć.
111:  BFP - No mogę powiedzieć, że jestem świeżo po trzech odcinkach.
114:  BFP - Jutro wychodzi kolejny, czwarty i nie mógłby być szczęśliwszy, że widzę się z wami w tym gronie i że będziemy dyskutowali właśnie o takiej produkcji serialowej.
123:  BFP - I chyba pierwszy raz na bez schematu, w takim składzie.
127:  BFP - Michał Lipiński z Ponarzekajmy o Filmach.
129:  BFP - Dobry wieczór.
130:  ML - Dobry wieczór państwu.
132:  BFP - Grzegorz Wątroba z kanału Okiem Deva.
135:  BFP - Ochajo.
136:  BFP - I Krzysztof M. Maj, testujący nowy mikrofon.
139:  KMM - Witam wszystkich serdecznie.
142:  BFP - Jamnik, nie mówiłem tu o sobie dla wszystkich, którzy słuchają w tym momencie podcastu.
146:  BFP - I witam wszystkich, którzy do nas dołączają na żywo.
149:  BFP - Kurczę, naprawdę wylewa się ze mnie euforia po obejrzeniu tych trzech odcinków i pomyślałem, że fajnie będzie podzielić naszą dyskusję oczywiście na te trzy odcinki i to, co w nich nastąpiło, ale też na dyskusję o settingu, bo naprawdę...
167:  BFP - niezbyt często dostajemy dobre dramaty kostiumowe i to takie, które sprawiają, że mamy impuls, żeby zacząć grzebać w jakimś okresie historycznym i dowiedzieć się czegoś więcej.
178:  BFP - o bohaterach i bohaterkach i aktorstwie i walorach produkcji i już samych wydarzeniach i samych scenach z serialu, bo nie przypadkiem mówi się o tym serialu i to pewnie też ze względu na czołówkę, że jest to jakaś taka wersja Gry o Tron.
194:  KMM - Ja nie jestem pewien, czy to jest do końca właściwe porównanie, ale czasem... Właściwsze byłoby do sukcesji.
201:  KMM - Sukcesja w świetle feudalnej Japonii, mamy wszystko idealne.
204:  BFP - Boże, nie znowu!
206:  BFP - Cieszę się, że powiedziałeś to za mnie, żeby pójść na pierwszy ogień z różnicy Grzegorza.
213:  BFP - Sengoku Jidai to jest ten okres historyczny, w którym toczy się akcja serialu, który bodajże zaczął się w 1547, a skończył właśnie w 1600... nie, w 1457...
228:  GW - W 1600 to się zaczyna chyba.
230:  BFP - Nie, nie, nie.
231:  BFP - W 1600 bodajże się kończy.
233:  GW - A nie, era tak, tylko akcja książki się zaczyna w 1600.
236:  BFP - Tak, tak, tak.
237:  BFP - To jest okres trochę takiego japońskiego rozbicia dzielnicowego i
243:  BFP - To Sengoku Jidai w praktyce oznacza walczące prowincje, moment w którym szogun i rola szoguna nie miały już żadnego faktycznego znaczenia.
252:  BFP - Byli po prostu lordowie czy warlordowie, którzy częściej prowadzili wojny niż byli w stanie sensownie administrować państwem.
259:  BFP - Jak wy odnajdujecie ten setting?
261:  BFP - Bo to przecież jest remake serialu z lat 80.
264:  BFP - A mimo to ja jak oglądam ten serial mam takie wrażenie jakbym po raz pierwszy wylądował w tym okresie historycznym i w tym regionie świata.
271:  BFP - Grzegorz, może Ty zacznij.
275:  GW - Jeżeli chodzi o samo przedstawienie Japonii z tamtego okresu, to już kilka gier chociażby oscylowało mniej więcej w tych latach.
288:  GW - Jest to wszystko bardzo zgodne ponoć z przekazem historycznym.
296:  GW - zajmujący się produkcją w ogóle tego serialu, starali się jak najbardziej oddawać klimat tamtego czasu, oddawać wszystkie realia historyczne, to jakich strojów się używało i tak dalej z racji tego, że no wszystko akurat jeżeli chodzi o historię Japonii jest bardzo dobrze dokumentowane.
314:  GW - Więc tym łatwiej jest chociażby ludziom odpowiedzialnym za stroje i wystrój odwzorować tamtą erę.
325:  GW - Plus wydaje mi się, że miejscami to...
330:  GW - wyszło lepiej niż sam autor książki założył.
334:  GW - No i na pewno wygląda to lepiej niż względem oryginalnego serialu, w sensie tego pierwszego serialu.
343:  GW - Stąd jeżeli chodzi o wartość produkcyjną pod kątem wizualiów i przedstawionego świata, no ja jestem absolutnie zachwycony i tutaj
354:  GW - Nie jestem widać takim entuzjastą bądź znawcą kultury i historii japońskiej, żeby się mieć do czego przypieprzyć, a bardzo bym chciał.
366:  BFP - Przeczytałem ciekawą rzecz, którą Czejnesku napisał, ja o tym nie wiedziałem, że sam George R. R. Martin przyznaje, że inspirował się książką Clavela, czyli tą na podstawie której powstał Szogun najpierw w latach 80., a później ten z 2024.
382:  BFP - Michale, jak ty odnajdujesz ten setting, ten klimat i...
390:  ML - Ja zacznę od tego, że ja ideę powtarzania, że to jest jak gra o tron, niestety namiętnie pielęgnuję, ponieważ dla mnie gra o tron w recenzjach jest takim symbolem gadania o intrygach, ale sukcesji też jak najbardziej, więc możliwe, że będę tutaj też się powtarzał, ale to widać, że mogła to być inspiracja, prawda?
408:  ML - Zresztą tak samo jak Dune dla Martina.
410:  ML - Natomiast mi się też bardzo podoba.
412:  ML - Ja nie widziałem oryginalnego serialu, znaczy tego z lat 80. z Chamberlainem i też nie czytałem książki Clavela, tak?
418:  ML - Dobrze mówię?
419:  ML - Tak.
420:  ML - Nawet może się właśnie, na tyle mi się serial podoba, że nawet może się zbiorę i przeczytam w odskoczni od science fiction.
427:  ML - I stricte wchodząc jako taka biała karta w serial, patrząc na to po trzech odcinkach, bardzo mi się podoba.
434:  ML - Mam jakieś tam minimalne zastrzeżenia, ale generalnie stroje wyglądają super.
439:  ML - Tylko znowu, nie w formie, że się znam na tym jak powinny, tylko amatorskim okiem.
445:  ML - Bardzo mi się podoba i scenografie, i stroje.
448:  BFP - Osaka wygląda obłędnie.
449:  ML - W ogóle podejście do tego, jak to kręcą i nawet do scen walki, taka konwencja realistyczna po prostu tej Japonii, około 1600.
458:  ML - Siedmiu samurajów się chyba dzieje tam z 15 lat wcześniej teoretycznie, no ale wiadomo, że choć kocham i to jeden z moich ulubionych filmów ever, to wiadomo, że tam w czasach Kurosawy kręcili z takiego budżetu, jak mieli, teraz mogą sobie pozwolić na trochę więcej jednak jakichś tam szczegółów i podejrzewam, że to będą jakieś wielkie bitwy i tak dalej.
477:  ML - Natomiast ja póki co jestem bardzo, bardzo pozytywnie niezaskoczony, bo hype był, ale po prostu jadę tym wagonikiem razem z serialem.
485:  BFP - Grimhog napisał i oddaje głos właśnie Krzysztofowi.
488:  BFP - Krzysztof ma minę jakby był niesamowicie zniesmaczony otaczającą go rzeczywistością.
493:  BFP - No to ja mogę powiedzieć, że to jest mina domyślna Krzysztofa.
496:  KMM - On tak odpoczywa.
497:  KMM - Tak, po drugie gorączka robi swoje.
499:  KMM - Ja jestem jeszcze w bardzo, bardzo takiej końcowej wprawdzie, ale jednak fazie choroby, ale stwierdziłem i może to będzie najlepszym dowodem na to, jaki Szogun jest dobry, że nie mogę tej rozmowy przegapić.
511:  KMM - Nawet jeżeli nie miałbym powiedzieć wiele z tego względu, że już zdążyłem zapomnieć wszystko, co się wydarzyło w tych trzech odcinkach, ponieważ dobrze wiecie, co powiem.
517:  KMM - Tak, to jest kolejna rozmowa na Bez Schematów, w której powiem to, dlaczego seriale nie mogą wychodzić na raz i ja muszę czekać z tygodnia na tydzień.
524:  KMM - To jest jedyne zastrzeżenie, jakie mam do Shoguna.
527:  KMM - Cała reszta, no to są pienia pochwalne.
529:  KMM - Ja nie spodziewałem się kompletnie, że ten serial będzie aż tak dobry.
532:  KMM - Od razu mówię dla wszystkich tych, którzy mają podobną konstytucję psychiczną jak ja.
537:  KMM - Błagam, nie zrażajcie się pierwszymi scenami, bo pierwsze sceny są na zasadzie takie, abyście przyszli na, nie wiem, wspaniałą imprezę, gdzie spodziewacie się, że dostaniecie trunki i jadło i napoje, a dostaliście żwir.
551:  KMM - Ja się spodziewałem, że będę mieć shogunat, że będą samurajowi i cała reszta i będzie wspaniale i będzie Sekiro.
557:  KMM - no i nagle mam jakiegoś typa, który w ładowni statku jest cały czas i nie jest bynajmniej Japończykiem, więc byłem zmartwiony, przestałem oglądać Shoguna, po czym zacząłem oglądać dwa dni później jeszcze raz, już dając sobie troszeczkę więcej czasu i słusznie, bo to jest serial, który trzeba konsumować powoli i cieszyć się z niego, choć wciąż uważam, że nie z tygodnia na tydzień.
577:  KMM - Rewelacyjnie jest odwzorowany ten świat, niesamowicie realistycznie, widać, że budżet jest
583:  KMM - stosownie wysoki budżet przy takich produkcjach.
588:  KMM - Jeśli mielibyśmy porównywać rzeczywiście z tymi kasowymi hitami HBO, to zdecydowanie powiedziałbym, że nawet z jakimś późniejszym sezonem, ponieważ rozwija się to od samego początku znakomicie.
598:  KMM - No i przede wszystkim zagrane to jest rewelacyjnie.
600:  KMM - A, i jeszcze jest jeden miły smaczek, to znaczy są trzy języki, tak de facto.
605:  KMM - Jest angielszczyzna łamana, angielszczyzna portugalskim, z tego względu, że mamy część bohaterów właśnie z tamtego regionu, no i jest japoński, co jest tylko asumptem do...
616:  KMM - Potwierdzenie raz jeszcze tezy, że naprawdę możemy robić tego rodzaju eksperymenty i Amerykanie nie zwariują patrząc na to.
623:  KMM - Uśmiecham się tutaj w kierunku Grzegorza i Fusfiori Taumaturga, który jest niestety wyłącznie po angielsku, a mógłby być po polsku z angielskimi napisami chociażby.
632:  KMM - Wiem, ale i tak musiałem to powiedzieć.
634:  KMM - W każdym razie zmierzam do tego, że tego rodzaju właśnie tygiel kulturowy, który tam jest w tym serialu, jest świetnie odwzorowany właśnie w warstwie językowej.
644:  KMM - I jeszcze do tego wszystkiego mamy fantastycznie przedstawione stroje, niesamowity smak i gust, jeżeli chodzi o wystrój wnętrz.
654:  KMM - No coś wspaniałego.
655:  KMM - To jest serial, który się ogląda dla takiej audiowizualnej przyjemności, nawet jeżeli historia was nie wciągnie.
660:  KMM - A jeżeli historia was nie wciągnie, to się zdziwię, ponieważ poprowadzone jest to w taki sposób, że wszelkie ewentualne przestoje narracyjne są momentalnie przełamywane jakąś sceną batalistyczną albo wreszcie takimi dialogami, które ja właśnie pamiętam z Gry o Tron czy z Sukcesji.
675:  KMM - Dialogami, które wyglądają jak walka z bossem, a są tak naprawdę tylko rozmową.
681:  KMM - Coś wspaniałego.
682:  GW - Muszę grosik wrzucić, przepraszam, bo w książce, i to jest ten problem jeden z, który faktycznie niektórym ludziom może przeszkadzać.
694:  GW - Jak dla mnie to jest zabieg konieczny po to, żeby mieć określoną pulę aktorów, a jednocześnie, żeby właśnie ludzi i tak nie sfiksowali, bo już i tak mamy dwa języki, czyli angielski i japoński właśnie.
705:  GW - bo mieliśmy w książce używany portugalski, łaciński, japoński, oprócz angielskiego.
710:  GW - I stąd to budowało pewne też relacje i zabiegi językowe, a także różne wolty w trakcie dyplomacji chociażby, czy negocjacji pomiędzy bohaterami, które właśnie umożliwiały te języki, a tutaj mamy to wszystko ścięte bardziej właśnie do angielskiego, powiedzmy stylizowanego w pewien sposób,
733:  GW - i japońskiego, tylko gdyby chciano to zrobić faktycznie jak w książce, ciężko by było znaleźć tak dobrych aktorów, którzy by operowali tylu językami.
744:  GW - Więc siłą rzeczy, jak dla mnie to jest uproszczenie, ultrasi książkowi mogą się wkurzać, jak dla mnie to jest absolutnie akceptowalne.
754:  BFP - Zrobili bystre czary-mary i po prostu kiedy słyszysz angielski, to jest portugalski tak naprawdę.
759:  BFP - Generalnie tak.
