THE EXPANSE – żegnamy najlepszy serial sci-fi tej generacji
🔗 https://www.youtube.com/watch?v=JrodmJ-knro
BFP (Bartosz Filip Malinowski, Bez/Schematu)
AK (Artur Kurasiński)
KMM (Krzysztof M. Maj)

0:  BFP - Belta Lauda, panowie.
3:  BFP - Belta Lauda.
5:  BFP - Myślałem, że odpowiecie mi Belta Lauda.
7:  BFP - No nie wiem, że będzie jeszcze ten ogień po obejrzeniu ostatniego odcinka The Expanse.
12:  BFP - Ale widzę, że zostawili się.
13:  AK - No będzie, no będzie.
14:  AK - Poczekaj.
15:  AK - Ale wiesz, niektórzy z nas mogą być stronnikami Marsa.
20:  BFP - Właśnie.
21:  AK - Jak to?
23:  AK - Była taka opcja w ogóle?
25:  AK - Oczywiście.
25:  AK - No była, była.
26:  AK - Daj spokój.
27:  AK - Mi się podobali barsjanie.
29:  BFP - Każdemu się podobali Marsjanie, ale jednak Belta Lauda.
31:  BFP - Będzie to dzisiaj bardzo przyjemna rozmowa.
34:  BFP - Może, może z jakąś tam nutką melancholii, bo to jednak koniec jednego z najlepszych seriali science fiction w historii dla mnie, a z pewnością najlepszej space opery w formie serialowej tej generacji.
48:  BFP - Mówimy o The Expanse, który jest na podstawie książek, serii książek Jamesa S.A.
54:  BFP - Carey'a, który, co jest dla mnie bardzo zabawne, James S.A.
57:  BFP - Carey
58:  BFP - To jest nikt inny, jak dwóch ludzi.
61:  BFP - To jest dwóch gości, dwóch autorów, Daniel Abraham i Ty Frank.
67:  BFP - I oni, w ogóle kiedyś czytałem o tym, że oni piszą rozdziały na zmianę.
71:  BFP - Znaczy jeden pisze jeden rozdział, drugi pisze drugi rozdział i potem robią sobie review.
75:  BFP - To jest dla mnie kosmiczne, ale serial, który powstał na tej podstawie i którego showrunnerem jest...
81:  BFP - Naren Shankar jest moim zdaniem absolutnym triumfem, towarzyszył nam przez prawie 8 lat i pora pożegnać go z godnością.
91:  BFP - Ja chciałbym Was zapytać, za co cenicie ten serial tak na start?
95:  BFP - Oczywiście, że będziemy dzisiaj rozmawiali ze spoilerami, więc ostrzegam wszystkich, zawczasu, ale ja bym powiedział, jeżeli mogę sobie pozwolić na otwarcie,
104:  BFP - Dla mnie ten serial pokazuje po co powstało science fiction, po co właściwie nam jest fantastyka naukowa i to w takim rozumieniu lemmowskim.
116:  BFP - To jest, możesz mieć lasery i railguny, możesz mieć super poruszające się statki i stacje kosmiczne ukryte za asteroidami, możesz mieć nawet obcych i fajne technologie,
128:  BFP - Ale to jest przykrywka do tego, żeby mówić o czymś, o naszym świecie realnym, o naszej rzeczywistości.
135:  BFP - I Expanse od początku do końca robił to w sposób absolutnie wybitny.
140:  BFP - Miał coś do powiedzenia, jeżeli chodzi o katastrofy humanitarne, katastrofy naturalne, jeżeli chodzi o kolonializm, radykalizm i to, jak rodzi on terroryzm, o stratyfikację społeczną, o niesprawiedliwość społeczną.
156:  BFP - wyścig technologiczny i to, jakie są moralne granice rozwoju naukowego.
161:  BFP - I to od samego początku do samego końca utrzymało poziom i zgadzam się ze wszystkimi, którzy mówią, że The Expanse jest jak Game of Thrones, tylko w kosmosie, ale ja bym dodał, ale z lepszym zakończeniem.
174:  BFP - Teraz po szóstym sezonie mogę powiedzieć, ale z lepszym zakończeniem.
177:  BFP - I niech obeliskiem dla tego serialu, który podobno na razie tylko wcisnął pauzę i może jeszcze powróci,
184:  BFP - Będzie to, co mówi jedna z najważniejszych i najfajniejszych postaci w tym serialu, czyli sekretarz generalna ONZ Avasarala.
193:  BFP - Mówi, wojen nie kończy się, na polu bitwy wojny kończy się przy stole negocjacyjnym.
200:  BFP - I dokładnie tak kończy się ten serial.
202:  BFP - Przy stole negocjacyjnym.
204:  BFP - Jeżeli to nie jest rekomendacja dobrego science fiction, to nie wiem co nią jest.
210:  BFP - Artur?
211:  AK - Znaczy ja już zwierzałem się tutaj Wam, że odkryłem serial przez przypadek, szukając na torrentach zapewne jakiegoś wypełniacza, umilacza czasu.
221:  AK - No bo wiadomo, że te dobre seriale niestety rzadko zgoszczą od razu na łamach jakiegoś dużego medium typu Netflix czy Amazon, jak potem się to zdarzyło.
231:  AK - właśnie serialem The Expanse.
233:  AK - Natomiast mnie pochwyciło od razu, ja w ogóle zakochałem się w tym serialu z jednego prostego powodu.
238:  AK - To była pierwsza produkcja filmowa, która tak bezbłędne, bardzo realistyczne i bardzo zgodne z podstawami naszej nauki, dodajmy, pokazywała kwestie podróży gwiezdnych
250:  AK - W tym wypadku z użyciem napędu takiego Warpa, który jest jednym z fajnych odcinków moich, jeden z jednych ulubionych, gdzie jest taka wstawka delikatna pokazująca historię naukowca czy wynalazcy tego napędu.
261:  BFP - Który się zabił odkrywając ten napęd.
263:  AK - Ale to jest właśnie, tym bardziej jest to fajne, bo pokazuje, że nie ma żartów z tą technologią.
269:  AK - No i jak gdyby to jest takie udziwnienie.
270:  AK - Natomiast to, co dla mnie jest piękne, to jest to, że jak przeczytałem w takiej książce, już nie pamiętam, chyba chodziło o Project Hail Mary, że
281:  AK - Wszystkie podróże międzygwiezdne wyglądają tak samo.
284:  AK - To jest jak przyczepić do kawałka cegły na lodzie silnik odrzutowy i przyspieszasz do pewnego momentu, po czym odwracasz ten silnik, żeby zacząć hamować.
294:  AK - To nie są Gwiezdne Wojny, gdzie latają ci statki, bo George Lucas po prostu skopiował filmy z II Wojny Światowej i brał de facto, rysował prawie, że na kliszy filmowej, na Spitfire'ach i Messerschmittach rysował swoje X-wingi, dlatego te, powiedzmy to szczerze, debilne sceny, antynaukowe sceny bitew w kosmosie sterowane przez Gwiezdne Wojny przez tyle lat, już pomijmy szarżę,
320:  AK - pamiętną na koniach na którymś ze statków kosmicznych.
323:  AK - Natomiast tak nie wyglądają bitwy w kosmosie.
326:  AK - Bitwy w kosmosie wyglądają podobnie jak obecnie bitwy samolotów.
329:  AK - To znaczy, ten kto ma lepszą ławionikę, wykrywa przeciwnika z większej odległości, potrafi go namierzyć rakietami, naciska magiczny klawisz fire i zapominasz.
338:  AK - I ta rakieta leci.
339:  AK - Tu jeszcze był ciekawy jeden element.
340:  AK - W wielu wypadkach te statki do siebie strzelały nie laserami, bo to jest znowu absurd, tylko one strzelały po prostu
347:  AK - pociskami, które miały masę kinetyczną.
349:  AK - I ta kinetyka wywalała dziury w kadłubie i ta kinetyka działa, które strzelały takimi wiązkami.
355:  AK - To według mnie była esencja tego, co można było pokazać.
358:  AK - Nie takie właśnie latające, strasznie fascynujące statki kosmiczne o kształtach niewiarygodnie upływowych, bo one nie są potrzebne w przestrzeni kosmicznej.
367:  AK - Przestrzeń kosmiczna nie posiada atmosfery, powietrza, nie ma oporu, w związku z tym możesz być dokładnie jakimkolwiek kawałkiem klocka, chyba że wchodzisz w atmosferę.
375:  AK - Dlatego ja jak zobaczyłem to pomyślałem sobie, o matko boska, to jest super, jest przeciążenie.
379:  AK - Ci ludzie, we wszystkich odcinkach jest ten sam motyw.
382:  AK - Oni mają buty, które muszą być magnetycznie przyczepione do powierzchni.
385:  AK - Takie charakterystyczne klik, klik, klik, jak one chodzą.
388:  AK - Kurde, żadnym Star Treku, żadnym innym w serialu, nawet w filmach wysokobudżetowych nikt o to nie dba.
394:  AK - To była jedna rzecz.
395:  AK - Druga, która mnie niesamowicie zachwyciła, to jest to, co dziadek Lem kiedyś pisał.
399:  AK - To było takie trochę na przekór i z przekąsem, ale pisał o tym, że ci wszyscy, oczywiście głównie była w trend i taka słujka w bok Star Treka, że ci wszyscy bohaterowie tych seriali i filmów to chodzą w wyprasowanych koszulach, takich uniformach.
416:  AK - Gdzie oni mają te pralnie na tym pokładzie?
418:  AK - I dziadek Lem pokazywał, że właśnie nie ma takiego sensu pokazywanie idealnej sytuacji na przestrzeni kosmicznej, bo nikt to nie uwierzy.
427:  AK - A w The Expanse oni mają sytuację, że stoją w kantynie, robią sobie jakieś posiłki, narzekają na jakość jedzenia.
433:  AK - Nie widziałem, nie przypominam sobie, czy była scena w ubikacji, w toalecie, ale były sceny, kiedy oni leżeli na wpół, zemdlali lub też prawie że umierający w tym medbayu.
442:  AK - To było pokazanie właśnie tego, czego nigdy nie pokazujesz, tak?
445:  AK - Czyli pokazanie tych de facto mięsa, flaków, potu i łez, wszystkich elementów pokazujących, że oni są ludźmi, pokazujący o ludziach.
454:  AK - To jest o humanity, o nas, nawet czołówka to świetnie pokazuje, bo zaczyna się od pokazania Ziemi i są zbliżenia na poszczególne elementy.
462:  AK - By the way, dzięki temu, że oglądałem ostatnie dwa sezony na Amazonie, tam włączałem sobie zawsze napisy, żeby jeszcze lepiej sobie utrwalać te kwestie,
470:  AK - to włączyłem sobie raz w opcję, która opisuje wszystkie dźwięki.
474:  AK - To się jakoś nazywa specjalnie nawet ta opcja.
477:  AK - I ona na początku mi uzmysłowiła, że to, co jestem zaśpiewem na starcie samego początku filmu, czołówki, to śpiewa kobieta w języku norweskim.
489:  AK - Więc od tego momentu zawsze pamiętam, że to jest woman singing in Norwegian.
493:  AK - I potem oczywiście są dalsze jakieś elementy.
495:  AK - Także ja ten serial kocham za autentyczność
498:  AK - Nie budowanie fałszywego obrazu, zupełnie niepotrzebnego.
503:  AK - Wystarczy sobie zobaczyć, jak lataliśmy w kosmos w 1969 roku, żeby zobaczyć, że to wcale nie jest takie proste i może się wiele rzeczy złych zdarzyć.
511:  AK - Także pokazanie tego, czego do tej pory nie udało się albo nie chciało, bo myślałem, że jest to za mało sexy innym twórcom,
518:  AK - No i to, że to jest właśnie serial, ja bym powiedział, że nawet czasami używający elementów science fiction do powiedzenia o długowieczności, właśnie rozwoju, o tym, w jaką stronę idziemy jako ludzkość, co się może z nami stać.
532:  AK - Także Belta Lowa, natomiast ja jestem optymistą i czekam na kolejne sezony.
537:  BFP - Czy ty powiedziałeś Belta Lowa zamiast Belta Lauda?
539:  BFP - Tak.
542:  AK - Są różne dialekty, pamiętaj o tym.
547:  BFP - Wybrnąłeś.
548:  BFP - Rozumiem, że to jest dialekt Szagiego, Beltalowa.
551:  AK - To jest dialekt Polaków na SCRS albo na innej stacji.
558:  KMM - Zanim nas zjedzą w komentarze, muszę jedną rzecz sprostować.
561:  KMM - Amazon się myli.
562:  KMM - To znaczy ta piosenka, która jest na początku, ona nie jest po norwesku.
565:  KMM - Ale tak jest napisane.
567:  KMM - Tak, wiem.
567:  KMM - To jest piosenkarka, która zajęła na ten temat stanowisko na Reddicie i powiedziała, że ona sobie wymyślała tę piosenkę tak, jak ona myśli, że norweski brzmi, bo jej to zabrzmiało właśnie tak fajnie, sci-fiowo.
578:  KMM - I to jest... I mnie ten argument jest potrzebny do jednego...
582:  KMM - względu, to znaczy realizm, bo Artur mówi o realizmie w Science Fiction i to jest przepiękne.
588:  KMM - Kluczowa kwestia w tym wszystkim jest taka, że realizm, tak jak jest postrzegany bardzo często przez fanów fantastyki, tak naprawdę nie jest realizmem, bo w fantastyce chodzi o to, żeby ten obcy świat faktycznie działał na wielu poziomach i można oczywiście powiedzieć, że no tak, tak, nie mają w Star Trek'u butów, ponieważ to jest taki specjalny rodzaj pola energetycznego, dzięki któremu tego nie...
609:  KMM - ale nie musimy tego wprowadzać, nie musimy wprowadzać właśnie wymyślonego, magicznego rozwiązania, skoro możemy wykorzystać sensowne to, które istnieje już w tej chwili.
618:  KMM - I przypomina mi się pierwsza dyrektywa dla światotwórców, którą zawsze podaje świetna szwajcarska narratolożka Mary Lou Ryan.
626:  KMM - Principle of minimal departure.
628:  KMM - Zasada minimalnego odejścia.
630:  KMM - Odchodź od realizmu wtedy tylko, kiedy faktycznie musisz.
634:  KMM - Jeżeli możemy wykorzystać jakieś właśnie zjawiska fizyki,
638:  KMM - Kinetykę chociażby w strzelaniu do poszycia statku.
641:  KMM - Wykorzystajmy to, a jeżeli chcemy wprowadzić sobie tajemniczą nową substancję, która jest w kosmosie, zróbmy to, ale równocześnie niech ona będzie tajemnicą przez cały serial.
652:  BFP - I nie twórzmy nowego języka, jeżeli możemy zmieszać istniejące języki.
655:  KMM - Dokładnie, przecież w Matrixie, tym dobrym, starym, wykorzystywano sanskryt w tej pieśni Neon Amerung, prawda?
664:  KMM - To są paniszady, fizycznie zacytowane paniszady i brzmi to obco.
668:  KMM - George Lucas z kolei, tu akurat mu trzeba oddać, ale to dlatego, że to John Williams wymyślił, wykorzystywał również...
676:  KMM - fragmenty Upanishad w tej pięknej pieśni podczas pogrzebu Padme Amidali, więc to oczywiście można robić dobrze i Expanse robi to, powiedziałbym, wybitnie.
685:  KMM - Tamte elementy fizyki, astrofizyki są wszyte do serialu tak, że faktycznie spełnia on ten postulat naukowości, nazwijmy to, ale równocześnie nienachalnie.
698:  KMM - Bardzo często w hard science fiction nazywanej właśnie tak z tego względu, że jest ciężka do przyswojenia również, ale także z uwagi na jej ambicje, jest tak, że jest pewien przerost tej naukowości.
709:  KMM - On może stawiać pewne problemy poznawcze.
713:  KMM - W Expans tego w ogóle nie czułem, ani przez jeden moment.
716:  KMM - I równocześnie Expans też przyzwyczaja nas do tego realizmu,
720:  KMM - chociażby w tym, że za każdym razem, jak zaczyna się jakaś bitwa w kosmosie, to wszyscy wkładają skafandry, bo wiedzą, że będą przeciążenia i każdy robi to w tak mechaniczny, mimowolny sposób, że my jesteśmy z tym oswojeni dokładnie tak, jak z wyciąganiem przez obiłana miecza świetlnego, ale jest to zrobione właśnie realistycznie, tylko że ten realizm też działa na drugim poziomie, na poziomie spójności tego świata.
744:  KMM - I tutaj powiem tę rzecz, która mnie najbardziej się podoba w Expanse.
747:  KMM - Science fiction jest zawsze o odkrywaniu nieznanego, ale Expanse pokazuje, że niezależnie od tego, z jakim nieznanym się skonfrontujemy, zawsze jako ludzkość będziemy w stanie się skłócić sami ze sobą i podzielić.
759:  BFP - Ale i zjednoczyć.
760:  KMM - Czasami, pod koniec, ale też nie do końca.
763:  KMM - Zawsze w momencie, w którym chcemy ekspandować właśnie, kolonizować, to znajdziemy sobie tego wroga, będzie jakaś frakcja, która będzie chciała czegoś nowego, więc ta konfrontacja z nieznanym może działać faktycznie pozytywnie i konstruktywnie i sprawić, że będzie united humanity, zjednoczona ludzkość, ale no nie oszukujmy się, status geopolityczny ekspansji jest następujący.
785:  KMM - Stara Ziemia zmurszała ludzie, którym się nie chce pracować, którzy już osiągnęli wszystko.
791:  KMM - Mars, który cały czas żyje pragnieniem utopii, stworzenia nowej Ziemi, nowego Edenu.
796:  KMM - Terraformowania.
797:  KMM - Tak, i też trochę, nie oszukujmy się, w takim...
801:  KMM - technokratycznym sensie, w totalitarnym miejscu.
804:  AK - Militarystyczni nawet.
805:  KMM - Tak, tak, absolutnie.
807:  KMM - I jest, it's all the belters.
809:  KMM - Wciąż nie natrafiłem na dobre tłumaczenie tego określenia, więc będę z uporem maniaka używał the belters.
814:  AK - Pasiarzy.
815:  KMM - Pasiarzy, tak.
815:  KMM - Pasiarzy.
817:  KMM - Nie, każdy jest, każdy brzmi jakoś dziwnie, a poza tym belters pasuje do tego belta louda i tak dalej.
823:  KMM - Belta lowa, belta lowa lowa.
825:  KMM - Tak, tak.
826:  KMM - Więc tak, ten status quo, z którym zaczynamy jest ważny, bo to już nie jest to nasze typowe science fiction, gdzie te ranie walczą z zergami i protosami.
837:  BFP - Ja chciałem powiedzieć, że ja wiedziałem, że to będzie dobra rozmowa, bo jesteśmy mniej więcej gdzieś w okolicach 15-20 minuty i nie powiedzieliśmy o żadnym z bohaterów.
846:  BFP - Nie powiedzieliśmy, że statek nazywa się Rosinante.
849:  BFP - Nie powiedzieliśmy słowa o fabule, a i tak się bawimy świetnie.
853:  BFP - I jak jesteśmy przy tych niuansach, bo właśnie chciałem zwrócić uwagę, w sumie ładnie o tym powiedzieliście, bo Artur uderzył mocno w ten ton hard science fiction, czyli pewnego rygoru w spójności świata.
865:  BFP - Bo jednak mówimy o tym świecie przedstawionym, który rządzi się pewnymi zasadami, pewną technologią, która jest spójna dla wszystkich.
872:  BFP - To ja bym powiedział, ten serial robi wszystko dobrze to, co nie udawało się w Wiedźminie.
879:  BFP - I mówię o drugim sezonie Wiedźmina.
881:  BFP - Tam akcenty, rasy, etniczność po prostu w cały świat.
887:  BFP - Bez jakiejś większej logiki mówiliśmy o tym bardzo dużo.
890:  BFP - Tutaj...
891:  BFP - Mamy belterów, którzy mieszkając, nie wiem, na jakiejś konkretnej stacji są na przykład wyżsi niż inni, bo tam była zupełnie inna grawitacja.
900:  BFP - Ich charakterystyczne ubiory, ich charakterystyczne fryzury, charakterystyczne tatuaże, wnętrza statków się nawet różnią.
906:  BFP - Mało tego,
907:  BFP - Taka Kamina Drummer, która w ogóle będziemy chyba mówili jeszcze o tym, że to jest serial, który ma jedne z najciekawszych, najlepiej napisanych postaci kobiecych w ogóle.
917:  BFP - Nie tylko w science fiction, ale w ogóle w telewizji.
920:  BFP - I Kamina Drummer, która była sercem Belterów i tego serialu,
925:  BFP - żyła w kibucu, ona stworzyła komunę hipisowską na swoim statku.
930:  BFP - Marsjanie, jak już powiedzieliście, potwornie zmilitaryzowane społeczeństwo, które inwestuje w technologię, militaryzuje się, mają te swoje potężne power armors, są niezwykle nastawieni na cel i również jest taka świetna scena, przypominam,
946:  BFP - kiedy jedna z bohaterek, Bobby, pojawia się na Ziemi i nie może ustać na nogach ze względu na grawitację, jest całkowicie skonfundowana, a po raz pierwszy widzi, oddycha powietrzem, prawdziwym, naturalnym powietrzem, tak.
962:  BFP - No i ziemianie, którzy są trochę tacy wynieśli, którzy mają, wydaje się, najbardziej komfortową sytuację, do momentu aż, spoiler alert, w przedostatnim sezonie Ziemia zostaje zbombardowana przez asteroidy i nie wiadomo, czy w ogóle uda się ją odbudować.
977:  KMM - Od razu muszę wtrącić.
978:  KMM - Zbombardowana przez asteroidy, które są wystrzeliwane w najbardziej efektywny sposób, jaki sobie można wyobrazić.
984:  KMM - Po co bombardować wymyślonymi głowicami termonuklearnymi, które są niesamowite drogie, skoro można zrobić dużą kosmiczną katapultę.
996:  BFP - Z wykorzystaniem technologii stealth, która została kupiona od Marsjan.
1002:  BFP - Bo to Marsjanie najpierw jemu pracowują, wokół tego obraca się pierwszy sezon i oni potem, nie mogę powiedzieć separatyści, ale radykałowie, terroryści na czele, których stoi Marco Inaros, wizjoner i przywódca, który chce zjednoczyć Belterów, a tak naprawdę ma też swoje własne...
1024:  BFP - cele, które chce zrealizować, bardzo partykularne, wykorzystuje tą technologię i mało tego, trzyma trochę na takiej zasadzie, to już nawet nie jest teoria zastraszania, tylko trzymając palec na spuście i w każdej chwili mogąc odpalić kolejne asteroidy.
1037:  BFP - Przecież tak zaczyna się sezon, że oni szukają tych asteroid, które są tak naprawdę gotową do wykorzystania bronią.
1044:  BFP - Ale ja jeszcze chciałem zwrócić Wam uwagę, jak mówimy o tych niuansach, o tych szczegółach, o tym, z jakim pietyzmem zrobiono ten serial.
1052:  BFP - Panowie, pomyślcie na przykład o wnętrzach statków, jak one wyglądają.
1056:  BFP - Pomyślcie, nie wiem, jak wyglądają te karabiny pulsowe, których oni używają, to kojarzy mi się z Aliens na przykład, tam też tak doskonale to wszystko było dopracowane, ten production design, jak wyglądają ich medbeje, jak wyglądają, no na przykład siedziba ONZ na ziemi, tak?
1072:  BFP - Tam wszystko jest, powiedziałbym, przepraszam za te anglicyzmy, specific, a nie generic, nie jest generyczne, jest bardzo konkretne, bardzo przemyślane.
1081:  BFP - żeby ktoś miał jakiś pomysł na ten design, żeby to fajnie wyglądało.
1084:  BFP - I też, tak jak często zwracamy uwagę na to, że podoba nam się, jak jest takie wytarte science fiction, że zużyte są instrumenty, widać, że poobdzierane są ściany, rozinanty na przykład
1097:  BFP - ma, że tak powiem, całkowicie pokiereszowaną karoserię i to widać, ale w środku wnętrze jest bardzo eleganckie i czyste, bo to jest supernowoczesny statek marsjański.
1106:  BFP - Marsjanie niezwykle uporządkowani, więc trzymają to w ryzach, ale z drugiej strony mamy statki belterów, które są brudne, kleją się od tego, co oni tam piją, od ich orgi, które uprawiają w tym swoim wesołym kibucu i ziemiańskie statki, jeszcze inaczej wyglądające.
1121:  BFP - To wszystko ma wewnętrzną logikę, to wszystko ma sens, więc mamy taką koegzystencję bardziej powycieranych rzeczy, bardziej używanych przedmiotów, a z drugiej strony takie hermetyczne, czyste, higieniczne science fiction.
1136:  BFP - To naprawdę ma sens.
1137:  BFP - Za każdym razem jak to oglądam, to jest wspaniałe.
1140:  BFP - I jeszcze jedna rzecz, którą może zachęcę teraz do Artura.
1144:  BFP - Ten serial był wielokrotnie wyróżniany przez forumowiczów, dostawał nagrody za jeden z najlepszych efektów CGI i efektów wizualnych w historii telewizji.
1156:  AK - I tu właśnie bym polemizował.
1157:  AK - Powiem szczerze, że bardzo przez długi okres czasu w pierwszym sezonie zagryzałem zęby, dlatego że to nie jest CGI, który... Znaczy inaczej.
1168:  AK - Żeby zrobić dobre efekty, to trzeba mieć walk w kosmosie, poruszania się statków, odbić światła na kadłubie.
1176:  AK - Trzeba mieć bardzo dużo pieniędzy.
1178:  AK - To widać w bardzo dobrych produkcjach.
1180:  AK - Natomiast jeżeli robisz serial i naprawdę nie ma, że ten serial tyle, ile mieli twórcy Gry o Tron, to musisz właśnie zejść z czegoś.
1187:  AK - I ten CGI powiedziałbym, dla mnie on mnie kupił, jakby to określić.
1192:  AK - To było good enough, żeby mnie przekonać, że to są statki kosmiczne, że oni tam się poruszają, natomiast to nie był taki CGI, który naprawdę zachwyciłby mnie, ale z drugiej strony uznaję, że lepiej mieć taki CGI i
1204:  AK - dzięki temu mieć fajną, spójną fabułę i nie kombinować, niż pójść właśnie w stronę tego, że tworzysz niesamowicie fajny design z również najlepszych grafików, najlepsze studia projektowe, wiesz, bierzesz Intersol Light & Magic albo tam Weta Studio i po prostu pakujesz nikt dziś setki milionów, a potem Ci wychodzi jakaś kupa, bo nie pomyślałeś o scenariuszu.
1224:  AK - Natomiast absolutnie nie chciałbym, żebyście zrozumieli, ci, którzy nie widzieli tego serialu z jakimś dziwnym trafem, żeby go nie oglądać.
1231:  AK - Po prostu ja jestem smakoszem detali i elementów i to, co jest zrobione tam, jeśli chodzi o kwestie... Dla mnie to nie jest tip-top.
1241:  AK - Ja bym to zrobił lepiej, gdybym mógł, znał się i potrafił i mogę podać referencje innych filmów, gdzie to jest zrobione lepiej.
1248:  AK - Natomiast to nie znaczy, że ten film jest przez to gorszy.
1251:  AK - Natomiast ja bym chciał wrócić do czegoś, co mi się nie podobało, bo CGI powiedzmy, że uznaje, że jest po prostu kwestią budżetu.
1258:  AK - Nie podobało mi się w ogóle protomolekuła jako element.
1261:  AK - Ja już na razie się dystansuję od książek, bo ich nie znam.
1264:  AK - Kupiłem sobie Halo, będę czytał, w związku z tym w komentarzach zabijcie mnie, ale proszę nie mówcie, że czegoś tam nie wiemy, bo dopiero jest w siódmym czy ósmym tomie.
1275:  AK - Ja ten film zacząłem oglądać dla postaci kosmicznego detektywa, który dostaje zlecenie, szuka dziewczyny i to było super.
1288:  AK - To nie było dla mnie najważniejsze.
1290:  AK - On by mógł naprawdę szukać skradzionego statku z kontrabandą.
1293:  AK - Ja nie czułem, powiem inaczej, najgorszy sezon, który do tej pory mi się gdzieś tam odbija czkawką, to był ten, w którym załoga Rocinante wylądowała na tej planecie, gdzie była protomolekuła, te stare strasznie technologie, które oni potem odkrywają, te jazdy z utratą wzroku, te latające jakieś karaluchy po ścianach.
1314:  AK - Serio, dla mnie to było coś, co było zupełnie zaprzeczeniem fajności tego samego serialu, dlatego że oni byli a na planecie, a nie latali, b ta kolonia, ok, pokazywali kolonię jako tako, to też jest ciekawostka, że można tych kolonii, kolonie pokazywać na różne sposoby, ale im się gdzieś to udało z tego wybrnąć, co na przykład się zupełnie nie udało ludziom tworzącym The Foundation, pewnie do tego będziemy dzisiaj nawiązywali.
1339:  AK - Natomiast jakbym mógł wyciąć, to bym jednak uważał... Jestem bardzo ciekawy, jak to będzie w książkach przedstawione, natomiast protomolekuła, ja nie czuję... I pojawienie się Ring jako manifestacja takiej zupełnie nowej.
1353:  AK - Ja do tej pory trochę nie rozumiem, po co to jest.
1354:  AK - W serialu mam wrażenie, że było to drzwiami do innych systemów.
1361:  AK - Ale tak naprawdę wolałbym, żeby ten serial był serialem takiego krótkiego zasięgu.
1367:  AK - To znaczy chciałbym, żeby on wybiegał w przyszłość o 40, 50, 80 lat.
1372:  AK - I żeby w nim się... Bo de facto to, że Zjednoczone UN stało się takim ciałem kolegialnym, które jest de facto rządem na ziemi, jest całkiem możliwe do takiego wytłumaczenia i tym bardziej przekonania nas.
1388:  AK - Natomiast...
1390:  AK - Ciągle mamy jakiś problem taki, że jak zaczynamy wymyślać tą przyszłość, to strasznie nam to nie podchodzi.
1395:  AK - Coś z tym takiego ten ankany walej wbija strasznie, nie potrafimy tego dobrze zaprezentować.
1400:  AK - Wolałbym i na przykład sam chciałbym bardzo przeczytać albo stworzyć coś, co byłoby de facto takim logicznym wyjściem poza to, co mamy obecnie, czyli nie napędy międzygwiezdne, nie latanie z prędkością x czy y, nie podróże między dogmy systemami,
1417:  AK - ale to, żeby dolecieć do Księżyca, tam zatankować ten nasz statek w wodę i w paliwo i doczołgać się do Marsa, zrobić coś tam i wrócić.
1425:  AK - I dla tego możemy zbudować piękną, dużą opowieść.
1427:  AK - Nie potrzebujemy latać na konie i do innych systemów.
1431:  BFP - Ja się mocno z Tobą nie zgadzam, ale chyba chciałbym oddać na razie głos Krzysztofowi.
1436:  KMM - Znaczy ja powiem tak, że jeżeli mówimy już o pewnych problemach produkcyjnych, bo chyba do nich powolutku przechodzimy, to ja wbrew wszelkim pozorom nie miałem problemów takich, o których mówi Artur, jeżeli chodzi o to rozwinięcie świata, bo ja to tak właśnie traktowałem.
1450:  BFP - Znaczy to jest ten tytuł, Xpans.
1453:  BFP - Zabierzmy ten ring i nie będzie Xpans.
1456:  KMM - po prostu wprowadzili nowego gracza, prawda, do tej układanki geopolitycznej i dali motywację całej tej rewolcie Marko Inarosa, który nawiasem mówiąc jest jednym z najbardziej irytujących antagonistów, jakich poznałem w całej historii telewizji, seriali, filmów.
1475:  BFP - Zmieniliśmy wychwalać ten serial, a wy po nim jedziecie.
1478:  KMM - Nie, bo są dwie postaci, które mnie doprowadzały do szału.
1480:  KMM - Marko Inaros był jedną z nich, a drugą z nich była najolniej.
1483:  KMM - Holden!
