THE LAST OF US odc. 4 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=uodZ_r5yHTQ
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
KMM (Krzysztof M. Maj)

10:  BFP - Mili, witajcie na naszym wieczornym omówieniu i analizie live odcinka The Last of Us.
17:  BFP - Dzisiaj będziemy rozmawiali o odcinku czwartym.
20:  BFP - Zawsze, kiedy jest premiera nowego odcinka, tam jesteśmy my.
24:  BFP - A przez my mam na myśli Krzysztofem Maj.
29:  KMM - Witam wszystkich.
30:  BFP - Grzegorz Wątroba z Okiem Deva.
33:  BFP - Dobry wieczór.
34:  BFP - I Tomek Nowakowski z Ubieram się na czarno.
37:  BFP - Cześć.
39:  BFP - Jest taka zasada, to dla wszystkich, którzy mogą się pojawić u nas po raz pierwszy, że nie spoilujemy tego, co można zespoilować na podstawie gry, czyli znając fabułę pierwowzoru growego, można zespoilować to, co wydarzy się dalej w serialu.
55:  BFP - Tego nie robimy.
56:  BFP - Koncentrujemy się na tym, co działo się w danym odcinku i w poprzednich odcinkach i ewentualnie odnosimy się do gry na etapie fabularnym, który jest odnoszący się do tego, co widzimy w tym momencie w serialu HBO.
71:  BFP - Oddaję wam głos, ale ja zacznę bez schematu bardzo szybko i inaczej niż zazwyczaj.
77:  BFP - Powiem to, czego trochę mi brakuje w tym momencie, w tym serialu i co traktuję jako mankament.
85:  BFP - Po pierwsze uważam, że ten serial jest zbyt mało brutalny i mówię to jako gracz, jako fan gry, brakuje mi
93:  BFP - takiego niemalże pierwotnego elementu przemocy, który był obecny w grze i szczególnie kiedy widzimy kilka scen w tym odcinku, kiedy bohaterowie w grze trafiają do Pittsburgha, tutaj trafiają do Kansas City, zostają napadnięci, tam ta przemoc była niemalże namacalna, ona sprawiała, że drżały ci dłonie na padzie.
112:  BFP - Tutaj tego nie czułem oglądając i nawet nie odnoszę tych samych emocji, które powinienem czuć, kiedy trzymam pada w ręce, po prostu brakowało mi trochę więcej krwi.
120:  BFP - I druga rzecz, która zaczyna mi wadzić, to jest bardzo duża oszczędność w używaniu zainfekowanych w tym serialu.
129:  BFP - Jest ich naprawdę niewiele.
131:  BFP - Ale zacząłem od mojego malkontenctwa.
134:  BFP - Oddaję głos Wam, Grzegorz.
137:  GW - Ja akurat tutaj zauważam, że mamy po prostu jakość nad ilość.
142:  GW - Dlatego, bo jak wcześniej walczyliśmy w grze z kilkudziesięcioma przeciwnikami bez imienia, nazwiska, bez twarzy, tak tutaj mamy z jednej strony jakby w oczach przynajmniej Joella przełamanie pewnej niewinności Ellie, co nie do końca było prawdą, ale jakby to spotkanie z tą przemocą bezpośrednio z jej ręki.
166:  GW - a także potem dosłownie egzekucję, której już chciał jej oszczędzić, więc mamy tutaj bardziej po prostu dojmujące sceny i faktycznie, no mniej jest strzelania, mniej jest, mniej jest, no tego co mówisz, czyli takiej samej czystej walki, ale podejrzewam, że kolejny odcinek da nam to, bo wnioskując, łącząc kropki z tego odcinka plus trailer ten główny, tak,
191:  GW - No to wiadomo, co tam wyrośnie spod ziemi, ale let's not blow about it i idźmy dalej.
201:  TN - Tomek?
