THE LAST OF US odc. 8 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=-qnVegfHyeM
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

14:  BFP - Mili, witajcie na naszym cotygodniowym omówieniu.
19:  BFP - Scena po scenie nowego odcinka The Last of Us.
22:  BFP - O rany, zbliżamy się nieuchronnie do końca, bo to już jest przedostatni odcinek.
26:  BFP - Będę udawał, że nie widziałem ostatniego.
29:  BFP - Napięcie cały czas rośnie i widzę też... Robisz to od początku.
32:  BFP - Widzę też pozytywne, na bardzo nawet pozytywne oceny tego nowego odcinka.
39:  BFP - Ja chciałem tylko zacząć od jednej rzeczy, bo chciałbym, żeby to wybrzmiało całej naszej trójki.
43:  BFP - Chciałem złożyć gratulacje na ręce aktora Artura Barcisia, który fenomenalnie zagrał Davida w tym odcinku.
52:  BFP - No wiecie, Marcin Dorosiński i Piotr Adamczyk odnieśli już jakieś sukcesy za granicą, a tu zupełnie niepostrzeżenie Artur Barciś.
61:  BFP - pokazuje, że to nie tylko Miodowe Lata, to nie tylko Rancho, chociaż to trochę miało takie Rancho, potrafi fenomenalnie zagrać w światowej produkcji na wielką skalę.
71:  BFP - Ale tak serio, Scott Shepard, tak nazywa się ten aktor i jest kapitalny.
78:  BFP - Jest naprawdę kapitalny i Grzegorz oddaje głos na początku tobie.
83:  BFP - A przepraszam, bo jeszcze przedstawię.
86:  KMM - Ze mną jest Krzysztof M. Maj,
89:  KMM - To ja nie zrozumiałem dowcipu Bartosza, ponieważ ja nie rozpoznaję polskich aktorów.
94:  S05 - A to wiecie, jak patrzą na twoją minę cały czas.
101:  BFP - I Grzegorz Wątroba z okiem Deva, który miał okazję widzieć też w przeszłości, pewnie jak wielu z was tutaj z nami teraz na tym live'ie, Davida w wykonaniu aktora Nolana Northa w oryginale.
113:  BFP - Twoje impresje na szybko, a potem impresje Krzysztofa, który nie widział Davida w innym medium.
121:  GW - cóż, no w końcu zrobiło się absolutnie gęsto, mamy tutaj wszystko poza zombiakami, przepraszam, zainfekowanymi i w zasadzie
132:  GW - Nawet mi ich nie brakuje, bo tym razem autentycznie ludzie byli tutaj największym zagrożeniem, byli gorsi niż zombie.
140:  GW - Mieliśmy dodatkowo jeszcze Troja Bakera, który grał głosowo i ruchowo w oryginale The Last of Us w grze, grał Joela.
154:  GW - Mieliśmy bardzo wątpliwe zabiegi pielęgniarsko-medyczne.
160:  GW - Ten odcinek miał absolutnie wszystko.
163:  GW - No i w końcu zobaczyliśmy do jakich rzeczy jest zdolny Joel, bo jak wcześniej co prawda działał impulsywnie i agresywnie, to jednak to był tryb,
178:  GW - obronny i był do tego trochę zmuszony, a tutaj włączył mu się tryb Kratosa.
185:  GW - Tak, tu się włączył Spartan Rage po prostu na pełnej ten i jestem
193:  KMM - Krzysztofie.
193:  GW - Bardzo tym usatysfakcjonowany.
196:  GW - Jestem tym bardzo usatysfakcjonowany.
199:  GW - I tutaj też wychodzi właśnie to, że jak bardzo gra aktorska jednak w przypadku oddawania takich emocji, gdzie oszczędza się
210:  GW - w słowach, a pokazuje się więcej ciałem i pozostawia się pewne rzeczy w domyśle, znacznie lepiej robi robotę, w sensie bardziej oddziałuje wydaje mi się na emocje.
220:  GW - Także ten odcinek to był naprawdę bardzo kompletny pod wieloma względami.
225:  KMM - Krzysztofie?
226:  KMM - Ja prawie zapomniałem, że od czterech odcinków nie ma już zarażonych, ale absolutnie oceniam najwyżej spośród tych wszystkich, które ostatnio się pojawiły, już zupełnie poważnie mówiąc, czuć było właśnie ten klimat postapokaliptyczny.
240:  KMM - I wreszcie mieliśmy rozbudowane jakieś rozważania na temat tego, no to w takim razie jaka jest...
247:  KMM - Wymiana i zamiana ekonomiczna zysków i strat w momencie, w którym zdecydujemy się na to, żeby jednak oddalić się od tych ognisk wybuchu zarazy, od wielkiej aglomeracji wiejskich i pojedziemy w przysłowiowe Bieszczady.
260:  KMM - Więc jeżeli się pojedzie w te przysłowiowe Bieszczady, czyli pewnie Apalachy albo Alaskę, no to czy cokolwiek innego, bo tym razem a Kolorado, dobrze.
269:  KMM - to wtedy mamy dzięki temu przynajmniej gwarancję, że licytacja będzie atakowała, ale za to w zamian możemy mieć społeczność zarządzana przez krwiożerczego plebana i problemy z tym związane.
282:  KMM - No i przede wszystkim możemy zacząć głodować w zimie, co jest całkowicie racjonalnym rozwiązaniem w momencie, w którym się dzieje tak, jak się dzieje w tym świecie.
289:  KMM - Więc podoba mi się, że wreszcie nie mamy do czynienia z jakimiś irracjonalnymi miejscami pustymi, gdzie sobie musimy dopowiadać, o, że tutaj nie wiadomo w zasadzie jak oni przeżyli, ale jakoś przeżyli, tylko wreszcie jest jakaś refleksja okołoświatotwórcza na tym punkcie.
300:  KMM - No i też czuć bardzo, że Ellie została pozostawiona sama sobie i musi sobie jakoś poradzić z tym.
305:  KMM - Więc dobrze, dobrze zrealizowane reżysersko odcinek, dobrze mi się oglądało, nie nudziłem się przynajmniej wreszcie.
312:  BFP - Marta Łęgowska pisze, przez cały odcinek siedziałam jak na szpilkach, pod koniec byłam tak spięta, że zaczęły mi lecieć łzy, końcówka mocarna.
318:  BFP - Tak, kroczek po kroczku, scena po scenie, dotrzemy do końcówki.
323:  BFP - To co wnosi ten odcinek względem growego pierwowzoru, to jest ukontekstualizowanie postaci Davida, który...
333:  BFP - Powiem coś kontrowersyjnego, który dla mnie został oryginalnie lepiej wykonany przez Nolana Northa.
340:  BFP - Chodzi mi o jego tembr głosu, jego bardzo niepokojący spokój i trochę takie poczucie rozedrgania, że nie do końca wiemy, jakie są intencje tego człowieka i chyba nawet stara się za bardzo być miły.
355:  BFP - Ale Scott Shepard oczywiście wykreował znakomitą rolę.
358:  BFP - Tu też muszę zaznaczyć,
360:  BFP - żałuję, że aktorem, który nie zagrał, może inaczej, że Davida nie zagrał Troy Baker, czyli odtwórca roli Joela, a tutaj...
372:  BFP - Być może.
372:  BFP - Tutaj zagrał Jamesa i wierzę, że dałby radę, ale też widziałem jego jedną wypowiedź, w której powiedział, że to by było zbyt takie, zbyt dobitne, zbyt oczywiste zagranie i dlatego dostał rolę Jamesa.
