🔴 Uruchamiamy wsparcie Bez/Schematu! || Q&A Bez/Schematu #2
🔗 https://www.youtube.com/watch?v=tdBwISPwGLU
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  KMM - Bikłeś, jestem już w telewizji.
2:  KMM - Tak, powinno być wszystko okej.
4:  KMM - Jesteśmy.
5:  KMM - Nadajemy na żywo.
6:  KMM - Będziemy też nadawać w drugim znaczeniu tego słowa.
9:  KMM - Nie, żartuję tak naprawdę.
11:  KMM - Co się dzieje na czatach, Filip?
13:  KMM - Dzieją się straszne rzeczy na czatach.
15:  KMM - Ludzie zaczęli się zachowywać bez schematu.
17:  KMM - Jak mogą?
18:  BFP - Ja nie wiem, czy to może przejść płazem, tak szczerze mówiąc.
22:  BFP - Dlatego może zaczniemy od rzeczy, która siedzi nam wszystkim na myśli.
27:  BFP - Lord of the Rings, The Rings of Power.
30:  KMM - Oj tak, będziemy o tym mówić na razie, natomiast musimy powitać wszystkich, którzy dołączyli do wspierających, bo się podziało wcześniej.
38:  BFP - Tak, znaczy mega miło jest nam, że złamaliście system i już odkryliście, że odpaliliśmy system wspierania, chociaż tak naprawdę dopiero będziemy o nim mówili.
50:  BFP - Już widziałem, że parę osób, paru protektorów, a to jest na razie robocza nazwa, użyło nawet naszych emojis, które przygotowaliśmy, bo nie są to jamniki, tylko to są specjalnie przygotowane na potrzeby bez schematu emojis zaprojektowane przez nas i Dominikę Klimczak.
64:  KMM - Tak jest.
65:  KMM - No więc tak, to witamy, co będziemy się wymieniać?
68:  KMM - Witamy Stalowego Guźca, Tomasza Maleńczyka, Krzyszton Ofa, Adama Wikinga, Palitkę, Monikę Czech i Pawła Sajewicza wśród protektorów.
80:  KMM - Co to się dzieje, moi drodzy?
82:  KMM - I witamy całą resztę.
84:  KMM - I jeszcze mieliśmy wcześniej, zanim w ogóle się zaczął stream, znowu kolejna rzecz bez schematu, Tobiasz Maleńczyk dał super czat.
93:  KMM - Filipie, czyń honory.
96:  BFP - Dziękujemy bardzo.
97:  BFP - Krzysztof, ty mnie tutaj coachuj.
99:  KMM - Ja cię coachuję.
101:  KMM - Czytaj Super Chat jak kulturalny człowiek, jak został wysłany.
105:  BFP - Aha, Super Chat, czyli ja teraz czytam... Ten na żółto, tak.
108:  BFP - A, okej, dobra.
109:  BFP - Już czytam.
111:  BFP - Nie macie wrażenia, że Corpo, na przykład Amazon, to już się zgadzamy, zagarnia wszelkie światy, w cudzysłowie, czyli rozumiem, że to są także IPs, własności intelektualne, i wydają coś wbrew lore, za to z wątkami na przykład LGBTQ+.
128:  BFP - Amerytor, krytyka fandomu, trafia do jednego worka z napisem bigoci i rasiści,
135:  BFP - Nie, nie, dlatego, że to nie oni narzucają dyskurs, tak?
140:  BFP - Nawet jeżeli byłoby tak, jak mówisz, to znaczy kupujemy sobie IP, zgarniamy, nie wiem, tam Lord of the Rings, możemy sobie kupić taką markę, jak dajmy na to Conan Barbarzyńca, czy Torgal,
153:  BFP - i następnie wrzucić czarnoskórego Torgala, co pewnie by wkurzyło bardzo społeczność, to nie oni narzucają dyskurs.
161:  BFP - To nie oni decydują, kto będzie bigotą, a kto będzie rasistą, tylko społeczność ostatecznie i ewentualnie media, które włączają się w ten dyskurs.
169:  BFP - Więc nie mam takiego wrażenia, że to jest jakaś prerogatywa korporacji do tego, żeby przyklejać łatki osobom, które krytykują dzieła za to, że nie są one zgodne z oryginalną wizją.
182:  KMM - Ja dodam od siebie, że jest też taki problem, myślę chyba w Polsce głównie, że w Polsce fantastyka przez długie, długie lata była kojarzona z prawicowym oporem w stosunku do systemu komunistycznego typu Janusz Zajdel, typu miejscami Lem i tak dalej, chociaż Lem był lewicowy, co jest zabawne.
202:  KMM - I dlatego też dzisiaj w Polsce trochę łatwiej jest, by się też postrzegać to właśnie jako coś, co jest mega nacechowane politycznie.
