WIEDŹMIN sezon 2. Recenzja bez litości i analiza bez filtra
🔗 https://www.youtube.com/watch?v=KoZgOqNtxfY
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
AK (Artur Kurasiński)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - No więc, Wiesiek Wiesiek, co z Ciebie wyrośnie?
3:  BFP - Gruszki na wierzbie czy śliwki na sośnie?
5:  BFP - Jest ze mną dzisiaj absolutny Dream Team, jeszcze nigdy tyle osób bez schematu nie pomieścił jako vlog.
11:  BFP - Mam nadzieję, że się wszyscy zmieścimy na ekranie.
14:  BFP - Artur Kurasinski, Grzegorz Wątroba, Krzysztof M. Maj i będziemy rozmawiali o drugim sezonie Wiedźmina, który ma różną recepcję i ja tylko tak zajawię temat, że wydaje mi się, że ci, którzy nie mieli styczności z prozą Sapkowskiego ani ze światem Wiedźmina w grach CD Projektu Red, a myślę, że może być to większość widzów Wiedźmina,
37:  BFP - mogą mieć inny odbiór tego dzieła, niż ci, którzy wychowali się na prozie Sapkowskiego i którzy wdychali każdą komórką swojego ciała świat przedstawiony Wiedźmina w grach CD Projektu Red.
48:  BFP - Ja myślę, że z całego naszego grona jestem tym, który najmniej chłonął ten świat w prozie Sapkowskiego, a nawet jestem tego pewien.
56:  BFP - I dlatego mój odbiór może być troszeczkę inny, bo nie jestem tak kanonicznie przywiązany do tego, co tam się dzieje.
62:  BFP - A chociaż mam pewne zarzuty natury logiki i światotwórstwa i pewnej konsekwencji, ale oddaję wam głos.
70:  BFP - Artur, może ty zacznij.
72:  BFP - Jakie są twoje, bo ja czytałem twój post, no uśmiecham się trochę pod nosem, ale wiem, że ugryziesz to z nietypowej strony.
78:  BFP - Twoje impresje po obejrzeniu drugiego sezonu Wieśka?
82:  AK - Dziękuję za oddanie głosu.
84:  AK - Halo, halo, tu łączymy się.
86:  AK - Natomiast no tak, witam bardzo serdecznie w prawdopodobnie jednym z najbardziej krwiożerczych i zawierających ilości krwi odcinków w polskiej kulturze podcastowej, ale też kulturze wideo, ponieważ myślę, że będziemy się strasznie znęcali i pewnie dużo osób nam zarzuci, że się kompletnie na tym nie znamy, nie mamy pojęcia,
108:  AK - bo nigdy nie zrobiliśmy takiego show dla Netflixa, żebyśmy się zamknęli, bo zazdrościmy.
113:  AK - Więc ja mogę tego obronić w następujący sposób.
116:  AK - To jest moja subiektywna ocena.
118:  AK - Mogę ją mieć i chcę ją wypowiedzieć, a jak ktoś się nie zgłasza, znaczy nie zgadza, to niech po prostu powie swoje zdanie.
125:  AK - Ja uważam, że ten show po prostu zmierza ku smutnemu końcowi, który się będzie nazywał, że on zostanie zdjęty.
133:  AK - Oczywiście jest to absolutna blasfemia i na tym poziomie każdy powie, że to jest absurd, ale mi się wydaje, że jeżeli tak będzie wyglądała kariera tego show przez najbliższe dwa, trzy, pięć, siedem sezonów, to on po prostu zje swój ogon bazyliszka wcześniej niż nam się wydaje.
150:  AK - Mój podstawowy zarzut jest taki, że twórcy, to już teraz nie wiem, do kogo kierować ten zarzut, showrunnerka, poszczególne osoby gdzieś tam wokół niej, którzy zarządzają produkcją, oni po prostu już teraz się pogubili, dlatego że zastosowali metodę
166:  AK - wyciągania najbardziej smakowitych rodzynków i tworzenia z nich, tak było w pierwszym sezonie, tworzenia z nich jakiejś próby scalenia tego i zbudowania rzeczywistości, co już wtedy się rozsypywało, bo tak jak wielokrotnie podkreślałem to w mojej krytyce, showrunnerka, czyli pani Lauren Schmidt-Hissrich postanowiła naśladować Christophera Nolana,
190:  AK - I tu już jak gdyby można by było zarzucić kurtynę milczenia, bo to trochę jakby powiedzieć, że chce się kręcić kultowe filmy.
198:  AK - I ona postanowiła pobawić się linią czasu.
200:  AK - Wyszło to koszmarnie.
201:  AK - Widzowie mówili, o co w ogóle kurde tutaj chodzi, bo ja nic z tego nie rozumiem.
205:  AK - Ludzie, którzy znali procesa Bukowskiego mówili,
208:  AK - co się tutaj dzieje, ja w ogóle nie rozumiem, co ten Wiedźmin tu robi itd.
212:  AK - Na szczęście w drugiej sezonie to zostało pominięte, ale doszło do jeszcze większego problemu, to znaczy tam ktoś po prostu usiadł i stwierdził, Andrzej Sapkowski po prostu nie zna się na robieniu książek i pisaniu, my to napiszemy lepiej.
225:  AK - I od tego momentu te wszystkie odcinki, w których nie ma Sapkowskiego, a jest jakaś myśl bardzo duża, twórczo biegnąca sobie właśnie, nie wiem, producentki, showrunnerki,
238:  AK - no to zaczyna się po prostu robić źle.
239:  AK - I na tym poziomie oddam głos, bo pewnie też chętnie posłucham Was, natomiast jak powiedziałem, ja uważam, że jeżeli tak to się ma toczyć, to po prostu Netflix w pewnym momencie to skanceluje, ponieważ ludzie zaczną rozumieć, że ten sens pojawiał się tylko wtedy, kiedy to błazowało na literaturze Sapkowskiego.
256:  BFP - Jak my mamy teraz grać w piłkę, jak Artur na dzień dobry zaorał całą murawę?
262:  GW - Ja mogę na początku coś dobrego.
265:  GW - Powiedz coś dobrego.
267:  GW - No to mogę coś miód, ale tak w ogóle to tak.
274:  GW - Żeby nie było, że się znęcamy tylko nad tym serialem, to zdecydowanie dla osób, które nie znają materiału źródłowego, to po prostu będzie dobry bądź niezły serial.
287:  GW - Niezły to też niekoniecznie dobry, bo wszystko zależy kto jakie ma potrzeby, ale...
292:  GW - Na pewno widać wyższy budżet i lepsze efekty specjalne i tutaj się postarali.
298:  GW - Te braki, które mieli w poprzednim sezonie, gdzie w ciemnych miejscach elementy CGI były absolutnie tragiczne, błyszczały się po prostu jakby ktoś zapomniał czym jest oświetlenie bazujące na fizyce, to poprawili, bo albo nie robią tych rzeczy, albo jak robią to po prostu doświetlają te postacie tak, żeby to wyglądało okej.
319:  GW - No to Heniek Kawil to jest absolutne ciostko, więc tutaj, że tak powiem, też gra aktorska i jego i całej obsady jest naprawdę okej.
330:  GW - To też może myślę, że tutaj...
334:  GW - W pierwszym sezonie miałem taki zarzut, że on strasznie mamrał, jakby jeszcze nie wiedział do końca, jaką Geralt powinien mieć manierę wypowiedzi.
344:  GW - Tutaj jakby się to troszeczkę ustabilizowało, wydaje mi się, więc pod tym kątem też przyjemniej się go słuchało po prostu, nie tylko przyjemnie się go oglądało.
354:  GW - Muzyka bardzo dobrze mi leżała i choreografia walk.
358:  GW - To było też naprawdę w porządku.
360:  GW - Ujęcia, widoczki były okej.
363:  GW - No i chyba najlepsza ekspozycja postaci, najlepsze intro miał Dijkstra.
369:  GW - Czy Dijkstra, bo to wszystko zależy jak to się powinno czytać.
