Wszystkie warstwy "Squid Game" – recenzja i analiza
🔗 https://www.youtube.com/watch?v=z18DRhSJYzQ
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Zebrałem super team.
2:  BFP - Wreszcie, wreszcie możemy wystąpić we trzech.
5:  BFP - Grzegorz i Krzysztof ze mną.
8:  BFP - I mamy świetny temat, jakim jest Squid Game, czyli serial, który ma to szczęście,
15:  BFP - że trenduje, a jednocześnie jest wdzięcznym materiałem do dyskusji, bo naprawdę chce się rozmawiać o serialu, który jest tak bez schematu, ale generalnie większość rzeczy, które wypuszczą Koreańczycy, to jest coś, co się kwalifikuje pod plakietkę bez schematu.
30:  BFP - Będziemy rozmawiali, i to jest informacja dla wszystkich, którzy nas teraz oglądają czy słuchają, będziemy rozmawiali w trzech czwartych odcinka bez spoilerów, to znaczy będziemy rozmawiali o tym serialu tak, żeby wyciągnąć z niego esencję, żeby mówić o tym co najlepsze,
44:  BFP - żeby go trochę zrecenzować, ale przede wszystkim zachęcić wszystkich z Was do tego, żeby go obejrzeć, jeżeli jeszcze tego nie zrobiliście.
52:  BFP - Ale mniej więcej w tych 75% rozmowy włączymy tryb, teraz pogadamy o spoilerach, bo jednak chcielibyśmy wycisnąć tę cytrynę do końca.
60:  BFP - Więc żeby móc porozmawiać o losie konkretnych postaci, żeby móc porozmawiać o symbolice, żeby móc rozwiązać pewne wątki, to musimy wejść w strefę spoilerów, ale obiecuję, że bardzo, bardzo dobitnie poinformuję wszystkich z Was o tym, że wchodzimy w tę kruchą strefę spoilerów.
79:  BFP - I ja chciałbym generalnie, Grzegorz, Krzysztof, chciałbym, żebyście powiedzieli
88:  BFP - Krótko, dlaczego Wy uważacie, że to jest serial, który powinien obejrzeć każdy, jeżeli się ze mną zgadzacie?
94:  BFP - Ja tak uważam, ja uważam, że te laury, które teraz gdzieś tam spadają na ten serial są w pełni zasłużone i mam nadzieję, że to trendowanie będzie tylko się podbijało i podbijało, bo ten serial na to zasługuje.
107:  BFP - Wasza opinia, dlaczego powinno się obejrzeć Squid Game?
113:  BFP - Grzegorz?
114:  GW - Dobra, to ja.
115:  GW - To ja zacznę to tak.
118:  GW - Dla mnie to jest, tak jak już wspominałem przed nagraniem, taki gateway drug dla kina południowo-koreańskiego, które bardzo różni się od tego, co nam serwuje Zachód ze swoimi filmami.
135:  GW - to jest kino bardziej wymagające, czasami skłaniające do refleksji, jednocześnie troszeczkę wolniejsze, więc też może nie do każdego trafić.
143:  GW - I są pewne różnice kulturowe, które wpływają na to, że forma tego, ichniejszej kinematografii może się różnić, ale właśnie ta egzotyka też może przyciągać, więc myślę, że jeżeli Squid Game się komuś
160:  GW - podobał, to istnieje wiele ciekawych filmów, m.in.
164:  GW - nagrodzony Oskarem Parasyte, który też wtedy warto obejrzeć, zapoznać się i przyswoić, przemyśleć, bo jednak to jest kino, które mimo, że miejscami nietypowe, makabryczne, takie groteskowe, to jednak ma w sobie zazwyczaj jakiś głębszy sens.
186:  BFP - Ja tylko zaznaczę, zanim oddam Ci głos Krzysztof, że jest sporo paraleli i tych punktów styku między Squid Game a Parasyte, ale zaraz do tego przejdę.
198:  KMM - No to ja to od razu podejmę rękawice i dopowiem, że wydawało mi się, że na spektrum między Igrzyska Śmierci i Hunger Games według powieści Susan Collins a Parasyte nie może być nic innego, co by połączyło te dwa fandomy, a okazuje się, że Squid Games takie jest i daje wszystko to, czego brakowało bardzo w Igrzyskach Śmierci, to znaczy tę olbrzymią głębię krytyczną, interpretacyjną, polityczną, ideologiczną,
224:  KMM - a z drugiej strony zapewnia to, co mniej wytrawnych amatorów kina koreańskiego mogło w Parasyte zniechęcać, to znaczy po prostu dobrą rozrywkę i to na takim świetnym poziomie dobrą rozrywkę, która jest bardzo zaskakująca, która niesamowicie trzyma napięcie i utrzymuje je od samego początku, co dla mnie było bardzo zaskakujące.
247:  KMM - z uwagi na rzeczy, które się zdarzyły w drugim odcinku, o których opowiemy zapewne.
252:  KMM - I myślę, że każdy, kto poszukuje w serialach właśnie tego, to znaczy rozrywki i dobrej akcji, świetnie opowiedzianej historii, dynamicznej, nie będzie rozczarowany i będzie miał ten słynny syndrom drugiego odcinka, który
266:  KMM - Coraz rzadziej się przydarza na Netflixie, powiem uczciwie, i Squid Game było jednym z pierwszych seriali, które mnie absolutnie przygwoździło do siedzenia i sprawiło, że nie chciałem odchodzić na ani jedną sekundę, całość zbingewałem w ciągu jednej nocy.
281:  BFP - No faktycznie, ja bym powiedział, Ty mówisz o tym efekcie drugiego odcinka,
286:  BFP - I w innych słowach bym powiedział, że to jest efekt zakończenia pierwszego, gdzie pierwszy odcinek kończy się takim akcentem, że mówisz, what the fuck just happened, a potem drugi zmienia w ogóle inny bieg, wrzuca, bo jesteśmy przyzwyczajeni do tego, że pierwszy odcinek to naprawdę jechaliśmy na wysokim biegu, a drugi odcinek jeszcze wyższy bieg, a nie, tu się okazuje, że samochód zaczyna jechać w bok nagle.
305:  BFP - Jesteśmy całkowicie zaskoczeni i to ja bym właśnie powiedział a propos, no tak podbijając obydwie rzeczy, które powiedzieliście,
314:  BFP - To, że warto obejrzeć Squid Game ze względu na pewną poetykę audiowizualnej sztuki koreańskiej i to, że to jest kino egzotyczne dla nas, ludzi Zachodu, a za tym idzie zarówno production design, który jest znakomity, jak i właśnie ta rytmika i tempo i zmiany
337:  BFP - Zmiany gatunkowe, które widzimy, to w Parasyte było tak widoczne, tak?
342:  BFP - Uderzające i zachwycające ludzi.
344:  BFP - Tutaj również mamy takie dziwne zmiany.
345:  BFP - Czasem to troszeczkę popada w taką autokarykaturę i pozwolę sobie parę razy zwrócić na to uwagę, jak będę mówił o kilku rzeczach, które mi się nie podobały w tym serialu.
355:  BFP - ale rzeczywiście ta egzotyka, te kontrasty, te kontrapunkty, zarówno w sferze wizualnej, jak i audio, jak i w ogóle samo założenie, że mamy grę na śmierć i życie, która jest oparta o uliczne zabawy dziecięce, to wszystko jest właśnie tą fajną egzotyką, która jakoś tak niezwykle się Koreańczykom udaje i zostaje podana w taki sposób, że z jednej strony nas fascynuje,
378:  BFP - A z drugiej strony, i to jest to, co powiedział też Krzysztof, rzeczywiście ma cholerną głębię.
383:  BFP - Ja założyłem bez schematu po to, żeby szukać tej esencji w popkulturze i o rany, Squid Game ma tego mięsa naprawdę dużo.
393:  BFP - I to jest może trochę taki mój klucz interpretacyjny,
397:  BFP - do którego Was też zaproszę, czy będziecie się chcieli go trzymać, czy też nie, to już będzie Wasza decyzja i zobaczymy, gdzie nas języki i słowa poniosą, ale takie trzy wymiary, nad którymi ja się zacząłem zmużdżać nad Squid Game, a nawet trochę czytać i sięgnąłem po książkę, która pozwoliła mi zdać jeden z egzaminów doktorskich, doktorskich, na studiach doktoranckich,
419:  BFP - czyli psychologia społeczna, to jest po pierwsze, że jest to naprawdę fajne wzięcie pod lupę pewnych procesów społecznych i psychologii społecznej, pewne dynamiki zachowań w grupie, konformizmu informacyjnego, to jest fascynujące.
431:  BFP - Tam naprawdę mamy...
434:  BFP - Ciekawe wyniki eksperymentu społecznego, które są oczywiście taką popędzoną wodzą fantazji autorów, ale są zgodne z tym, co zostało udokumentowane w literaturze naukowej.
447:  BFP - Drugi wymiar interpretacyjny to jest to, że to podobnie jak Parasyte jest znakomita metafora hiperkapitalizmu.
454:  BFP - I trzeci, to jest na takim najbardziej ogólnym poziomie, ale równie fascynującym i szczególnie kiedy wejdziemy w sferę spoilerów, będziemy mogli o tym pogadać, to jest traktat filozoficzny, stawiający trochę takie faustowskie pytanie, czy faustowskie, chodzi o zakład między Bogiem a Mefistofelesem, o duszę Fausta.
475:  BFP - To ja bym powiedział, to jest...
477:  BFP - To jest serial czy produkcja, która stawia zakład o duszę człowieka.
482:  BFP - Ile w nim jest dobra, ile w nim jest zła.
484:  BFP - I to są takie trzy wymiary, których ja się będę trzymał, ale ja wiedziałem, że jak to zaproszę Grzegorza, to na pewno wniesie dużą wartość znajomości kina dalekowschodniego i przede wszystkim właśnie koreańskiego, więc myślę, że też będziemy mieli...
497:  BFP - Podbicie w postaci specyfiki kultury koreańskiej i też generalnie dzieł filmowych koreańskich, których czerpie śmiało autor Squid Game, bo on pracował nad tym filmem 10 lat ponad.
509:  BFP - I Krzysztof, ty też będziesz mógł rozwinąć wątki, które podawałeś w swojej recenzji, ale też popuścić wodze fantazji, jeżeli chodzi o światotwórstwo i właśnie tą głębię, o której też zacząłeś mówić.
519:  BFP - Więc panowie, czy jest jakiś temat, od którego chcielibyście zacząć, czy chcielibyście pokrótce powiedzieć o tym, co was zachwyciło, takiej czysto strony recenzenckiej w Squid Game?
530:  BFP - Bo ja bym powiedział, jedna z pierwszych rzeczy, która mnie absolutnie zachwyciła w tym serialu, to jest uczłowieczenie każdego z bohaterów, nawet tych, z których motywacją można się nie zgadzać, a nawet sympatyzowanie z pewnymi bohaterami, z których motywacją potem się nie zgadzamy.
548:  KMM - No to jak zaczynasz o bohaterach, to wrzucę od razu wątek, który często się pojawia w dystopiach filmowych, to znaczy i w ogóle nie tylko w filmowych.
557:  KMM - Tam bohaterowie nie mają żadnego znaczenia zazwyczaj i to jest duża wada tego rodzaju produkcji, to znaczy tam się liczy świat, liczy się krytyka społeczna, krytyka polityczna, ekonomiczna w tym świecie.
566:  KMM - Koncept fabularny.
568:  KMM - A bohater zazwyczaj, zauważmy, Winston Smith czy John D. Savage czy Delta 503 z Zamiatina, to są ludzie, Delta 503 jest nawet tylko numerem, to jest tabula rasa, którą możemy wypełnić czymkolwiek.
583:  KMM - W Edenie Lema mamy postaci, które się nazywają według swoich profesji, inżynier naukowiec i tak dalej, biolog.
589:  KMM - Więc w tym gatunku jest taka bardzo długa tradycja ignorowania postaci.
593:  KMM - Ja się tego spodziewałem też w Parasyte.
596:  KMM - I od pierwszego odcinka dostałem coś, czego się kompletnie nie spodziewałem.
601:  KMM - Cały pierwszy odcinek to jest w zasadzie, to mam nadzieję nie jest spoiler, ale to jest historia jednego człowieka, który, bardzo przypominająca mi zresztą upadek z Michaelem Douglasem,
611:  KMM - który coraz bardziej się stacza w otchłań hazardu i równocześnie stara się uporać z problemami rodzinnymi i nic mu nie wychodzi.
620:  KMM - I nagle się przydarza w jego życiu coś totalnie nadnaturalnego, to znaczy się pojawia gość, który mu proponuje taki właśnie faustowski zakład, że oto będziemy grać i zobaczymy, co z tej gry wyjdzie i oczywiście, jeżeli wygrasz, to wszystkie twoje problemy i długi znikną.
635:  KMM - I to nie jest otwarcie, którego bym się spodziewał w filmach właśnie reprezentujących taki gatunek jak Igrzyska Śmierci, Divergent, rok 1984.
642:  KMM - To się rzadko zdarzało.
644:  GW - No to tylko nadmienię, że to jest właśnie ta podstawowa pierwsza różnica między kinem zachodnim a wschodnim, dlatego, bo jeżeli sobie przypomnimy, tak najlepiej jakby tutaj jeszcze oczywiście odnieść się do absolutnego oryginału takich dystopijnych powiedzmy gier, czyli Battle Royale, o ile dobrze kojarzę, jak
