Wszystko tylko nie pierścienie władzy - Krzysztof Maj w pojedynku na dygresje! | ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=WEY_lkZy7RM
KMM (Krzysztof M. Maj)
DS (Dominika Skoczeń, Czerw Fantastyczny)

0:  DS - Ale dlaczego gry komputerowe sobie radzą, a film sobie nie radzi?
4:  KMM - To jest ciekawe pytanie.
5:  KMM - Po pierwsze dlatego, że przemysł growy nie miał nigdy problemu z rekrutowaniem ludzi, którzy mieli doświadczenie np.
14:  KMM - z prowadzeniem kampanii RPG-owych.
16:  DS - Pratchett nie jest śmieszny, Pratchett jest smutny, bo jest parę dobrych polskich filmów, zwłaszcza słabszych.
23:  DS - Ja nie wiem, może jestem w mniejszym... Słabszy!
25:  KMM - To jest piękne, że ta dyskusja, którą teraz mamy byłaby całkowicie niezrozumiała dla przeciętnego recenzenta z Gazety Wyborczej albo z jakiegokolwiek tygodnika, który ma sobie rubrykę, nie wiem, recenzję książek, tylko że w tej rubryce nie ma asterysku, bo tam w nowych książkach, które też wydaje Agora, powinien być taki duży asterysk po tytule nowe książki.
44:  KMM - Z wyjątkiem książek chętnie czytanych przez ludzi, ze szczególnym uwzględnieniem fantastyki.
49:  DS - Cześć.
50:  KMM - Cześć, cześć, cześć, witam.
51:  DS - Bardzo miło mi cię witać na moim kanale i tutaj w moim studiu do nagrywania.
57:  KMM - Jestem rozczarowany.
58:  KMM - Myślałem, że to będzie Jama Czerwia, a nie kanał.
60:  DS - Jama Czerwia.
62:  DS - Jest jaskinia na Facebooku.
65:  DS - Ale strasznie dużo się tam nie dzieje, bo więcej się dzieje na Discordzie.
67:  DS - Jakoś tak wyszło.
69:  DS - Myślałam, że na grupie się będę bardziej udzielać, ale jakoś ci wszyscy ludzie przyszli na Discorda i teraz tam się dziwne rzeczy dzieją.
75:  KMM - Ja nie ogarniam Discorda.
76:  KMM - To jest czarna magia, absolutnie.
78:  DS - Ale on coś robi z ludźmi.
79:  DS - Ludzie tam wchodzą i się zmieniają.
81:  KMM - Ale to jest praktyczne bardzo, ponieważ to jest połączenie, tak rozmawiam w tej chwili o fantastyce, to jest połączenie forum dawnego, z tak zwanych zamierzchłych czasów, lata 90 i tak dalej, z wszystkim tym, co było najlepsze z mediów społecznościowych i dlatego tak zagrało.
94:  KMM - I oczywiście z tego względu uczelnie i szkoły nie akceptują Discorda jako podstawowej formuły komunikacji, bo jest to absolutnie nieefektywne.
101:  DS - Oczywiście.
102:  KMM - To był Krzysztof, dlatego szkoła.
105:  DS - Powiedzieliśmy już coś o szkole, zaraz powiemy coś o fantastyce, czyli Krzysztof jest.
110:  KMM - Tak, no to wygląda.
112:  KMM - Ale obiecuję, że nie będę mówić nic o snoblistkach dzisiaj.
114:  KMM - Tak?
115:  DS - To dobrze.
117:  KMM - Mamy milsze tematy.
118:  KMM - Tak, absolutnie.
120:  DS - Rud Smoka.
121:  KMM - Oglądasz.
122:  KMM - Nie no, Rud Smoka to jest... Powiem tak.
125:  KMM - HBO, jak zaczęło robić Gry o Tron, przynajmniej ja tak myślę, nie chciało do końca zrobić serialu fantasy, tylko zrobiło serial, który był dramatem kostiumowym i historycznym i potem dopiero nieśmiało zaczęli mówić, że tam są jacyś White
138:  KMM - walkers, tam są, tutaj jest jakaś magia, w ogóle jest Melisandr z Aszaj, ale nie mówmy więcej o tym Aszaj, bo wróćmy z powrotem do dynastycznych spisków, do rycerzy.
148:  DS - Do rzeczy, które ciekawią normalnych ludzi.
150:  KMM - No nie, no bo zobaczmy sobie, co było na HBO wcześniej, to co, no to byli Borgiowie,
155:  KMM - Rzym był na HBO, Spartacus nie był na HBO, ale był podobny i w tym samym czasie był kręcony.
161:  KMM - I parę innych seriali historycznych, pewnie w komentarzach ludzie nas poprawią i dorzucą jeszcze swoją listę.
167:  KMM - Natomiast potem wchodzi nagle Gra o Tron.
169:  KMM - Gra o Tron dla mnie była czymś niesamowitym, bo pamiętałem Ksenę Wojowniczą Księżniczkę, albo Herkulesa, albo nie wiem czy to znasz, bo to jest hit, hitowy serial, Mroczny Rycerz z lat 90.
181:  DS - Nie, nie znam, ale Ksenę znam.
189:  KMM - tak leniwie napisany, że Czarnoksiężnik nazywał się dosłownie Mordor.
193:  KMM - Nie żartuję.
195:  KMM - Nie da się bardziej leniwie nic napisać.
197:  KMM - I jak ja sobie skontrastowałem jakość produkcyjną tamtych seriali, z tych zamierzchłych czasów, z tym, co dała Gra o Tron, co mnie zachwycało, nie jest jakimś
206:  KMM - specjalnym fanem seriali historycznych, a i tak oglądał Bordziów, Rzym i tak dalej i tak dalej, to pomyślałem sobie, boże, róbmy tak seriale fantasy.
214:  KMM - I teraz, zwłaszcza po ostatnim odcinku, który jest niesamowity, House of the Dragon, widzę, że przynajmniej HBO utrzymuje ten kurs, w odróżnieniu od innych stacji, innych platform streamingowych.
224:  KMM - Here's why the Rings of Power is a masterpiece.
228:  KMM - Ale ten kurs jest dobry.
229:  KMM - Dlaczego?
229:  KMM - Dlatego, że dużo ludzi myśli, że fantastyka to jest baśniowość, albo coś, co jest nierealistyczne, albo, że to jest wymyślone i nie istnieje, więc się tym nie przejmujmy.
240:  KMM - A tymczasem w fantazy zawsze chodziło o to, żeby był tam realizm.
244:  KMM - I HBO to rozumie.
245:  KMM - Ten serial jest realistyczny i nawet jak smok tam jest, to on wygląda realistycznie.
249:  KMM - Nie jest tam psikuśnym smokiem różowym, na przykład, który sobie dzieje konfettimi, tylko jest smokiem, który wygląda z grubsza tak, jakby wyglądać smok.
258:  DS - Dokładnie, też mam wrażenie, że tego pragną widzowie, a przynajmniej ich duża część, no bo oczywiście są ludzie, którzy oglądają sobie te słabsze produkcje, które teraz wyszły tak właśnie między prasowaniem a kotletem.
269:  S00 - Ciekawi o jakich mówimy, nie?
271:  S00 - The Rings of Power is a masterpiece.
274:  DS - Ale mnóstwo ludzi pisze, że właśnie oni chcą jakiejś takiej realistycznej fantastyki, która mogliby poczuć, że jest prawdziwa, a nie, że co chwilę jest jakaś bzdura.
284:  DS - No i właśnie ta gra o tron otworzyła trochę drogę serialom fantasy w ogóle, ale niestety ta szansa w dużej mierze jak na razie jest zmarnowana.
292:  KMM - Jest parę takich produkcji, które są dobre, fantazy, mimo że nie są ekstremalnie znane.
297:  KMM - Ja lubię wymieniać Carnival Row na przykład.
299:  DS - Tak, ja miałam to powiedzieć, jak mogłeś.
302:  KMM - Albo Cieni Kości, też jest niezłe.
305:  DS - Cieni Kości, ja tak bardzo kibicowałam niestety temu Darklingowi.
309:  KMM - Bo jemu się kibicuje, ale to jest dobra informacja, ponieważ, spoiler alert, w Królu z Bliznami on się też, znaczy też ma swoją rolę, powiedzmy, że wybrnął jakoś z tego spoileru, więc jeżeli po Cieniu i Kości zekranizuje jeszcze kolejną dylogię, to jest w tym momencie Król z Bliznami i...
326:  KMM - I drugi to, nie pamiętam.
328:  KMM - Komentarze, komentarze.
330:  KMM - I jeszcze jest coś.
332:  KMM - A, Żywoty Świętych, więc tam jest dużo, dużo Bardugo już napisać, tylko że właśnie i Cienkość i Carnival Row to jest urban fantasy, tak?
339:  KMM - Fantastyka miejska, postindustrialna.
342:  KMM - To nie jest high fantasy.
343:  KMM - Jakbyś miała wymienić seriale high fantasy, dobre seriale high fantasy, to co jest poza Grow o Tron?
351:  KMM - To jest problem z tym, nie?
352:  DS - Z niskobudżetowych, to chyba wpada w high fantasy, był Outpost.
355:  DS - Nie wiem, czy kojarzysz Outpost?
357:  S04 - Nie, nie kojarzę.
358:  S04 - Nie kojarzysz?
358:  DS - To musisz zobaczyć The Outpost.
359:  S04 - Zanotowałbym, gdybym miał gdzie zanotować.
361:  DS - Jest tak niskobudżetowy, zwłaszcza pierwszy sezon, że czasem ciężko się to ogląda na początku.
369:  S04 - Ojej, to niedobrze.
369:  DS - Jak są jakieś takie efekty specjalne, które muszą zrobić, ale się polepsza, bo...
376:  DS - ten pierwszy sezon osiągnął na tyle wystarczający sukces, że mogli zrobić następny i są chyba trzy, trzy jak nie cztery, cztery chyba i naprawdę historia jest bardzo dobra, więc ja bardzo polecam, musisz zobaczyć.
389:  KMM - Tak, muszę.
389:  KMM - Jest dużo rzeczy, które muszę.
391:  DS - Ale niestety muszą ciąć koszty, więc są jakieś takie różne trudne rozwiązania budżetowe.
397:  KMM - Dlatego to jest problem, bo w seriale fantasy są drogie.
401:  KMM - Zresztą gry fantasy też są drogie.
402:  KMM - Zawsze tłumaczę studentom, jak rozmawiamy o projektowaniu gier, że no tak, jaki setting decydujemy się i dlaczego post-apo jest takie popularne w grach wideo.
411:  KMM - No zastanówmy się.
412:  KMM - Dlaczego postapo może być tak popularne?
414:  KMM - Wychodzimy w miasto, robimy sobie fotogrametrię, fotografujemy sobie różne rzeczy.
419:  KMM - O, widziałem, że potrącę ten mikrofon.
420:  KMM - Byłem pewien, że to zrobię.
421:  DS - To jest przeze mnie, bo ja zawsze wszystko potrącam, więc teraz jak już przyszedłeś, to się teraz na ciebie przeszło.
426:  KMM - Nie jestem w stanie się potnąć o własne szturowadła.
428:  KMM - W każdym razie wychodzimy sobie w miasto, robimy sobie skany albo bierzemy nawet asety, które są dostępne nawet na open source'ie w Unreal Engine i potem robimy tak, żeby tam było dużo rdzy i pleśni i zombie.
439:  KMM - Ojej, jakie to trudne.
440:  KMM - To jest spoko.
440:  KMM - A zrobienie dobrego settingu high fantasy to jest praca u podstaw.
444:  KMM - Prześledzenie, jak ludzie sobie to wyobrażali.
446:  KMM - Jak zrobić jeszcze raz pałac elfów, tak żeby z jednej strony nie wyglądał jak wzięty wprost ze snu nocy letniej Szekspira i z tego, czego się Tolkien naśmiewał, że wszędzie będą psikuśne wrózie i duszki i on tego nie znosił.
458:  KMM - A z drugiej strony mamy na przykład wyobraźnię Johna Howe czy Tedana Smitha właśnie na potrzeby ilustracji z Władcy Pierścieni.
464:  KMM - A z trzeciej strony mamy Brandona Sandersona, który mówi, ja już nie mogę tego Tolkiena i estetyki tolkienowskiej, zróbmy coś więcej.
470:  KMM - I teraz, jeżeli stajemy przed zadaniem za projektor płac Elfi, który będzie wyglądał jak Elfi, ale zarazem będzie nie nawiązywał do Tolkiena i nie nawiązał do... To jest problem, tak?
479:  KMM - To jest problem.
480:  KMM - To jest drogie po prostu.
481:  KMM - Trzeba zatrudnić świetnych grafików i przede wszystkim światotwórców, ludzi, którzy umieją sobie to wyobrazić i to zrobić.
487:  KMM - To nie jest proste.
489:  DS - To nie jest proste i w ogóle...
491:  DS - Musisz sobie jeszcze, jak robisz taki serial fantasy, który, zwłaszcza high fantasy, który nawiązuje na przykład do średniowiecza, to musisz mieć bardzo dużą wiedzę o tym średniowieczu i o tym, jak te rzeczy tam działały, nie?
502:  DS - To jest to, co tak strasznie pokutuje w Pierścieniach Władzy na przykład.
506:  S00 - The Rings of Power is a masterpiece.
510:  DS - Ci ludzie nie podróżują na przykład.
