Znęcamy się nad Harrym Potterem - czekając na Hogwart's Legacy, Krzysztof M. Maj, ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=S1o0R985PvI
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)

0:  DS - No ale chciałbyś mieć koedukacyjną sypialnię?
2:  KMM - Ja nie mówię, że chciałbym mieć koedukacyjną sypialnię.
4:  KMM - No jesteś chłopcem, to byś chciał.
5:  KMM - Ja to znaczy, co zrobić, jeżeli przyjadą obcy i trzeba się ucieszyć, a nie możesz używać rąk, gestów, ani nic powiedzieć.
12:  S01 - Ja bym podskakiwała.
14:  S04 - Różka Voldemortas.
18:  DS - Widziałeś już, jaką malinkę zostawił mi Voldy.
22:  DS - Wiesz, że można się mordować, a nie można mówić o cyckach, więc... Absolutnie, tak.
26:  DS - Cześć, witajcie.
27:  DS - Ostatnim razem po naszej wspólnej rozmowie z Krzysztofem były od was tak entuzjastyczne reakcje.
33:  DS - Pisaliście w komentarzach, że chcecie więcej Krzysztofa tu na kanale, więc ponownie Krzysztof jest.
39:  KMM - Nie oszukujmy się, nikt mnie nie rozpoznał w tym szalbierczym przebraniu, w którym pozuje za hottusia-pottusia z Gryffindoru.
47:  DS - Chciałam Krzysztofowi dorysować bliznę, ale się nie zgodził.
52:  KMM - Chciałem oznajmić, że to szybko się skończy i chciałbym oznajmić, że tylko Slytherin, ewentualnie Ravenclaw.
58:  DS - No właśnie to jest ten problem, że ja też mam dzisiaj taki strój, z którego nie jestem usatysfakcjonowana, ponieważ Hufflepuff to jest najlepszy z wszystkich możliwych domów, więc trochę ze wstydem noszę te jakieś czerwone kolorki, ale jest tu też żółty, a całość jest czarna, więc w tym stroju jest przewaga czarnego i żółtego.
77:  DS - No więc możecie się domyślić, o czym będziemy dzisiaj rozmawiać po tym optymistycznym wstępie.
81:  DS - Potrzebujemy jeszcze jednego rekwizytu i możemy jechać dalej.
85:  DS - Także poproszę tutaj o uwaga.
88:  DS - Czymże jest czarodziej bez wspaniałej różdżki?
91:  DS - Bez różdżki się nie da.
92:  KMM - Lub kostura ewentualnie.
94:  DS - Ale w świecie Harry'ego Pottera jeszcze kosturów chyba nie wynaleziono.
98:  KMM - W świecie Harry'ego Pottera nie ma harfutów, które po pierwsze mogą umrzeć, a po drugie mogą umrzeć od ciosu kosturem w głowę, ponieważ na
104:  KMM - Harfuty się nie opłaca marnować magii.
107:  KMM - Dokładnie tak samo jest z goblinami, więc brakuje kosturów bardzo, ale Alastor Moody, to jest jedna z piękniejszych scen w piątej części, ma kostur, którym grzmoci w ziemi i wygląda jak prawdziwy mag wtedy.
119:  DS - On w książce chyba nie miał kosturu, nie?
120:  DS - Oj, nie miał, nie miał.
121:  DS - Nie wiem, czy miał jakąś laskę, żeby się podpierał.
123:  KMM - Miał laskę, ale nie miał kostura.
124:  DS - No pomysł z kosturem był faktycznie na plus.
126:  DS - Filmy z Harry'ego Pottera czasem potrafią, czują ten klimat i potrafią dorzucić czasem coś fajnego.
131:  KMM - Czasem.
133:  DS - Najpierw moja różdżka, ponieważ to on ma taki wzorek, to jest różdżka stylizowana na różdżkę Hermione Granger.
141:  DS - Taka fajna, porządna swish and coś tam, jak to się nazywało, obrót i trach.
146:  DS - Ale ponieważ Krzysztof jest arcymagosem, potężnym magiem ognia, tak mówią.
151:  KMM - Tak ja mówię, jeżeli chodzi o maga ognia.
154:  DS - To Krzysztof nie potrzebuje channelować magii aż tak bardzo przez różdżkę, dlatego twoja różdżka Krzysztofie.
162:  DS - jest trochę mniejsza.
167:  KMM - To jest ten moment, kiedy pojawi się bardzo dużo komentarzy, które będą nawiązywać w zabawny sposób do tej koincydencji.
180:  KMM - Potrafi tworzyć piękne iskierki.
183:  KMM - To jest ten moment, kiedy twoja różdżka rzuci wielką kulę ognia, a moja pierdni iskierkami.
189:  KMM - To jest dokładnie ten moment.
191:  DS - Potem się wkurzysz, odrzucisz różdżkę, weźmiesz kostkę, zostawiasz w przedpokoju.
195:  KMM - To jest różdżka Rona Wesleya.
196:  KMM - Ta złamana.
197:  DS - Tak, właśnie.
200:  DS - O tym sobie możemy dzisiaj porozmawiać a propos, bo ostatnio myślałam o tej złamanej różdżce, ale jakbyś ją zaostrzył, to mógłbyś przynajmniej napisać jakąś notatkę.
207:  KMM - Można, bo to jest ołówek w ogóle, nawet nie wiedziałem, że to jest ołówek.
210:  KMM - Można tak, można napisać notatkę, znaczy napisz sto razy, moja różdżka wcale nie jest taka krótka.
215:  DS - A potem nie będę opowiadał koła.
217:  Tak, nie będę.
224:  S06 - Tuszę.
226:  S06 - Tuszę.
226:  DS - Ale różdżka sama sobie wybiera czarodzieja, więc no...
230:  S06 - Jest coraz gorzej.
231:  KMM - Jest autentycznie coraz gorzej.
236:  KMM - Dobrze, że ja na początku się afiliowałem jako zwolennik Kosturów, na wszelki wypadek.
242:  DS - Jak już na pewno się domyśliliście, bo bardzo ciężko było się nie domyślić, będziemy dzisiaj rozmawiać o Harrym Potterze i o wszystkim, co z Harrym Potterem jest związane, ponieważ nie jesteśmy najlepsi z Krzysztofem, jeśli chodzi o trzymanie się jednego tematu.
256:  DS - Powiedz mi na początek, czy czekasz na Hogwarts Legacy?
259:  KMM - Może jak.
261:  KMM - Przede wszystkim to jest pierwsza gra w uniwersum, bo ja całkowicie nie wziąłem pod uwagę tego, że istniały jakiekolwiek inne gry.
267:  KMM - Nie grałeś?
268:  KMM - Nie no, grałem.
269:  KMM - Była jedynka i dwójka i one były w porządku, ale potem była równia pochyła, ponieważ... A trójka jeszcze była okej.
274:  KMM - Tak, ale Warner poszedł wtedy w takie bardzo proste gradaptacje, które nie pasowały kompletnie do, po pierwsze, skali stylistyki uniwersum i były w zasadzie czymś, co można było potraktować jako repetitorium fabuły, którą się już znało, zamiast żeby to było coś nowego właśnie.
290:  KMM - Tutaj wreszcie będzie RPG i wreszcie będzie to niepowiązane w żaden sposób z historią.
293:  KMM - historią, która jest przedstawiona w pięciu księgach pod tarasem, dlatego taki mały sens w ogóle mają te bojkoty związane z postacią Rowling tu i teraz, bo to nie ma nic wspólnego z jej książkami, tylko jest historią niezależną, osadzoną w świecie, które ona wykreowała.
307:  KMM - Podejrzewam zresztą, że ona ma mniej tantiem z tego niż sam Warner i bardzo
312:  KMM - Bardzo się cieszę na to, że wreszcie będę miał tam roleplay.
315:  KMM - Bo cały problem mój z Potterem, o czym jeszcze będę mówił wiele razy, jest taki, że to ci dobrzy są najlepsi i wspaniali i w ogóle nie interesuje nas skala szarości, czyli to, co w fantasy zawsze jest najciekawsze.
326:  KMM - Nie interesuje nas historia magii, tylko chcemy być tym nieszczęsnym hottusiem, pottusiem z okularami, który zawsze ma rację, jest w Gryffindorze i jeżeli nawet mu się nie powiedzie, to Dumbledore dosypie mu punktów do zupy.
337:  DS - To są te memy, te memy są świetne, nie?
339:  DS - Że na przykład profesor McGonagall sobie gdzieś idzie i hmm, nie mogę znaleźć Dumbledora.
344:  DS - Slytherin zdobywa Puchar Domów!
345:  DS - I nagle Dumbledore wyskakuje gdzieś z kątu i mówi 50 punktów dla Gryfindoru!
351:  KMM - Jeszcze to są te cholerne punkciki, na które jestem uczulony.
354:  KMM - W ogóle z Hogwartem to jest inny problem, bo Hogwart to jest instytucja ciężka pod względem oszacowania, jeżeli chodzi o jakość pedagogiki i dydaktyki.
