Żegnamy SUKCESJĘ | Zakończenie na jakie czekaliśmy?
🔗 https://www.youtube.com/watch?v=L3wb8Qgr4Tc
MG (Marcin Giełzak, Dwie Lewe Ręce)
GW (Grzegorz Wątroba, Okiem Deva)
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

9:  BFP - To już jest koniec.
13:  BFP - Koniec jednego z najlepszych, a z pewnością jednego z najważniejszych seriali.
18:  BFP - Tej dekady, czyli sukcesji współczesnego Szekspira, który został wciśnięty w doskonale skrojony garnitur za 150 tysięcy dolarów.
27:  BFP - Opowieści o, i być może właśnie w tej kolejności, o rodzinie, o władzy, o bogactwie i o czym chyba za często się nie mówi, albo zbyt często się nie mówi, a powinno się mówić częściej, także o traumach.
41:  BFP - To ja Witajcie
64:  BFP - i Marcina Giełzaka z podcastu i kanału Dwie Lewe Ręce.
68:  MG - Dobry wieczór panu, dobry wieczór państwu.
71:  BFP - I nie byłbym sobą, gdybym nie powiedział, że to nie tylko pierwszy raz, kiedy się widzimy tutaj, na łamach bez schematu w tym składzie, to też pierwszy raz, kiedy mogę gościć na łamach bez schematu prywatnie moich trzech przyjaciół.
84:  BFP - Więc to jest dla mnie podwójna przyjemność i nie mogło być lepszego pretekstu do tego, żeby się spotkać, jak właśnie zakończenie tego wspaniałego serialu.
93:  BFP - I żeby trochę narzucić ton naszej dyskusji, to chciałbym wam zadać pytanie, na które najpierw odpowiem sam.
102:  BFP - Z czym pozostawiła was sukcesja?
105:  BFP - Z jaką emocją?
106:  BFP - I z jaką refleksją?
109:  BFP - Bo ja tego nie utrzymam sobie już dłużej.
111:  BFP - Może macie podobną refleksję, może nie, ale mnie się to kołatało w głowie przez cały ten ostatni sezon.
119:  BFP - Z jaką gracją, spektakularnym slalomem zjechał ten ostatni sezon.
124:  BFP - Cały czas zbijając nas z tropu.
127:  BFP - Nie było takiego odcinka,
129:  BFP - Na którego zakończenie powiedziałbym, to już wiem do czego to zmierza.
132:  BFP - To już wiem co wydarzy się w kolejnym odcinku.
135:  BFP - Mało tego, wprowadzał mnie wręcz w ośmieszenie, auto ośmieszenie, kiedy wpadałem w pułapki na zasadzie, on wszedł do morza, on już pewnie z niego nie wyjdzie.
145:  BFP - On jedzie na szczyt budynku, on na pewno skoczy.
148:  BFP - Nawet, nawet...
150:  BFP - A może Logan Royo żyje, może wstanie z tej trumny.
152:  BFP - By the way, rozmawiamy ze spoilerami, sorry.
154:  BFP - Zapomniałem powiedzieć na początku.
